scene,speaker,system,m,depth,si_sdr,deflation_index,n_accepted_before,refine_rounds
hetero_different-chapter_00000_8555-4077-7176,s1,no_recursion,3,1,inf,,,0
hetero_different-chapter_00000_8555-4077-7176,s1,no_recursion,3,2,nan,,,0
hetero_different-chapter_00000_8555-4077-7176,s1,no_recursion,3,3,3.8077620895788,,,0
hetero_different-chapter_00000_8555-4077-7176,s2,no_recursion,3,1,54.473465113310475,,,0
hetero_different-chapter_00000_8555-4077-7176,s2,no_recursion,3,2,-14.018852053151981,,,0
hetero_different-chapter_00000_8555-4077-7176,s2,no_recursion,3,3,-7.679864710625145,,,0
hetero_different-chapter_00000_8555-4077-7176,s3,no_recursion,3,1,67.85349359415817,,,0
hetero_different-chapter_00000_8555-4077-7176,s3,no_recursion,3,2,-7.765106368705289,,,0
hetero_different-chapter_00000_8555-4077-7176,s3,no_recursion,3,3,-4.305004257861657,,,0
hetero_different-chapter_00000_8555-4077-7176,s1,ungated_deflation,3,1,inf,0,0,0
hetero_different-chapter_00000_8555-4077-7176,s1,ungated_deflation,3,2,nan,0,0,0
hetero_different-chapter_00000_8555-4077-7176,s1,ungated_deflation,3,3,3.8077620895788,0,0,0
hetero_different-chapter_00000_8555-4077-7176,s2,ungated_deflation,3,1,55.23531035923931,1,1,0
hetero_different-chapter_00000_8555-4077-7176,s2,ungated_deflation,3,2,-17.13828784799209,1,1,0
hetero_different-chapter_00000_8555-4077-7176,s2,ungated_deflation,3,3,-11.675018249056652,1,1,0
hetero_different-chapter_00000_8555-4077-7176,s3,ungated_deflation,3,1,29.95820466239789,2,2,0
hetero_different-chapter_00000_8555-4077-7176,s3,ungated_deflation,3,2,1.2199549034666015,2,2,0
hetero_different-chapter_00000_8555-4077-7176,s3,ungated_deflation,3,3,2.9952149413839795,2,2,0
hetero_different-chapter_00000_8555-4077-7176,s1,gated_deflation,3,1,inf,0,0,0
hetero_different-chapter_00000_8555-4077-7176,s1,gated_deflation,3,2,nan,0,0,0
hetero_different-chapter_00000_8555-4077-7176,s1,gated_deflation,3,3,3.8077620895788,0,0,0
hetero_different-chapter_00000_8555-4077-7176,s2,gated_deflation,3,1,55.23531035923931,1,1,0
hetero_different-chapter_00000_8555-4077-7176,s2,gated_deflation,3,2,-17.13828784799209,1,1,0
hetero_different-chapter_00000_8555-4077-7176,s2,gated_deflation,3,3,-11.675018249056652,1,1,0
hetero_different-chapter_00000_8555-4077-7176,s3,gated_deflation,3,1,29.95820466239789,2,2,0
