scene,speaker,system,round,accepted,mean_variance,margin,vad_coverage,artifact_score,reason
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,gated_deflation,0,True,0.0,0.2588615148015064,1.0,0.8295317031865125,accepted
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,gated_deflation,0,False,0.0,0.07957404298323179,1.0,0.7502841948010636,margin
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,gated_deflation,0,True,0.0001596384807540234,0.48361006569092196,1.0,0.5447275909109762,accepted
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,coarse_to_fine,0,True,0.0,0.19434333899639922,1.0,0.5515494211170845,accepted
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,coarse_to_fine,0,True,0.0,0.1666790193164499,1.0,0.5321828657311131,accepted
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,coarse_to_fine,0,True,0.0001596384807540234,0.29538324727634446,1.0,0.42929783235168445,accepted
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,coarse_to_fine,1,True,0.0,0.33330949742975063,1.0,0.5845522920319445,accepted
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,coarse_to_fine,1,True,0.0,0.2701010791011364,1.0,0.5438228329859218,accepted
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,coarse_to_fine,1,True,0.0001596384807540234,0.4666574669861032,1.0,0.4152218232325152,accepted
4507-16021-0025_1188-133604-0025_4992-23283-0016,s1,gated_deflation,0,True,0.00018342519574962582,0.1612151805443216,0.9741279069767442,0.4947812078280898,accepted
4507-16021-0025_1188-133604-0025_4992-23283-0016,s2,gated_deflation,0,True,0.0,0.2460007976097759,1.0,0.5595947836809507,accepted
4507-16021-0025_1188-133604-0025_4992-23283-0016,s3,gated_deflation,0,True,0.0,0.23236535591658763,1.0,0.7287517417454109,accepted
4507-16021-0025_1188-133604-0025_4992-23283-0016,s1,coarse_to_fine,0,True,0.00018342519574962582,0.2825029572640983,0.9825193798449613,0.29722284329492016,accepted
4507-16021-0025_1188-133604-0025_4992-23283-0016,s2,coarse_to_fine,0,False,0.0,0.06687856663751263,1.0,0.3613864210110037,margin
4507-16021-0025_1188-133604-0025_4992-23283-0016,s3,coarse_to_fine,0,False,0.0,-0.0862522068446479,1.0,0.27849553363121254,margin
4507-16021-0025_1188-133604-0025_4992-23283-0016,s1,coarse_to_fine,1,True,0.00018342519574962582,0.5787059564498367,0.9822480620155039,0.30172401144904043,accepted
4507-16021-0025_1188-133604-0025_4992-23283-0016,s2,coarse_to_fine,1,False,0.0,0.06687856663751263,1.0,0.3613864210110037,margin
4507-16021-0025_1188-133604-0025_4992-23283-0016,s3,coarse_to_fine,1,False,0.0,-0.39661105498812915,1.0,0.27849553363121254,margin
5142-36377-0017_2830-3980-0022_3729-6852-0038,s1,gated_deflation,0,True,0.0,0.2854573659256163,1.0,0.6816721609222424,accepted
5142-36377-0017_2830-3980-0022_3729-6852-0038,s2,gated_deflation,0,True,0.0,0.21292506952876317,1.0,0.7683023213475009,accepted
5142-36377-0017_2830-3980-0022_3729-6852-0038,s3,gated_deflation,0,False,0.0002628715444140093,0.02513492185753069,0.9985753052917232,0.614819121482435,margin
5142-36377-0017_2830-3980-0022_3729-6852-0038,s1,coarse_to_fine,0,True,0.0,0.22313416887223814,1.0,0.4885019169789175,accepted
5142-36377-0017_2830-3980-0022_3729-6852-0038,s2,coarse_to_fine,0,False,0.0,0.012596877709492194,1.0,0.5286182654148202,margin
5142-36377-0017_2830-3980-0022_3729-6852-0038,s3,coarse_to_fine,0,False,0.0002628715444140093,-0.05986519340405885,1.0,0.4453680831022817,margin
5142-36377-0017_2830-3980-0022_3729-6852-0038,s1,coarse_to_fine,1,True,0.0,0.50675759279154,1.0,0.48855785841048954,accepted
5142-36377-0017_2830-3980-0022_3729-6852-0038,s2,coarse_to_fine,1,False,0.0,-0.11643044707131839,1.0,0.5286182654148202,margin
5142-36377-0017_2830-3980-0022_3729-6852-0038,s3,coarse_to_fine,1,False,0.0002628715444140093,-0.2860459530220375,1.0,0.4453680831022817,margin
7021-79759-0005_4507-16021-0058_260-123288-0005,s1,gated_deflation,0,False,0.0,-0.22126888189791744,0.9574025974025974,0.3994816848560748,margin
7021-79759-0005_4507-16021-0058_260-123288-0005,s2,gated_deflation,0,False,0.0,0.08642387379014699,1.0,0.8756808724873257,margin
7021-79759-0005_4507-16021-0058_260-123288-0005,s3,gated_deflation,0,True,0.0,0.3254112887848807,0.9856818181818182,0.4803848912016843,accepted
7021-79759-0005_4507-16021-0058_260-123288-0005,s1,coarse_to_fine,0,False,0.0,-0.33319983326498753,0.9574025974025974,0.28980334633282634,margin
7021-79759-0005_4507-16021-0058_260-123288-0005,s2,coarse_to_fine,0,False,0.0,-0.028684638181071698,1.0,0.3543532296525873,margin
7021-79759-0005_4507-16021-0058_260-123288-0005,s3,coarse_to_fine,0,True,0.0,0.3460008412987291,0.9856818181818182,0.3651157269666277,accepted
7021-79759-0005_4507-16021-0058_260-123288-0005,s1,coarse_to_fine,1,False,0.0,-0.5320545845217013,0.9574025974025974,0.28980334633282634,margin
7021-79759-0005_4507-16021-0058_260-123288-0005,s2,coarse_to_fine,1,False,0.0,-0.03745637177353503,1.0,0.3543532296525873,margin
7021-79759-0005_4507-16021-0058_260-123288-0005,s3,coarse_to_fine,1,True,0.0,0.5495178192376188,0.9612662337662338,0.321508041944881,accepted
672-122797-0044_8463-294828-0013_4507-16021-0043,s1,gated_deflation,0,True,0.0,0.2434925393766409,1.0,0.7979461876486236,accepted
672-122797-0044_8463-294828-0013_4507-16021-0043,s2,gated_deflation,0,True,0.00012839922730585365,0.6718376183895742,0.9658862876254181,0.666910588945265,accepted
672-122797-0044_8463-294828-0013_4507-16021-0043,s3,gated_deflation,0,False,0.0,-0.16511117629661942,0.9661789297658863,0.7794857553737508,margin
672-122797-0044_8463-294828-0013_4507-16021-0043,s1,coarse_to_fine,0,True,0.0,0.17025854959671333,1.0,0.5147182176149028,accepted
672-122797-0044_8463-294828-0013_4507-16021-0043,s2,coarse_to_fine,0,True,0.00012839922730585365,0.3743204352645805,0.9678929765886287,0.5078001483323357,accepted
