scene,speaker,system,round,accepted,mean_variance,margin,vad_coverage,artifact_score,reason
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,gated_deflation,0,True,0.0,0.2736910077351267,1.0,0.8271811051669568,accepted
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,gated_deflation,0,False,0.0,0.029845194911423012,0.9855482717520858,0.7461817451782796,margin
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,gated_deflation,0,True,0.0001596384807540234,0.5305936192655716,0.9860846245530394,0.5266337370274241,accepted
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,coarse_to_fine,0,True,0.0,0.19742547785565534,1.0,0.5432711964815394,accepted
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,coarse_to_fine,0,False,0.0,-0.003612533309873378,1.0,0.5060835628149013,margin
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,coarse_to_fine,0,True,0.0001596384807540234,0.34051103981837627,1.0,0.4061073243663387,accepted
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,coarse_to_fine,1,True,0.0,0.49405282486682367,1.0,0.5630159136191644,accepted
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,coarse_to_fine,1,False,0.0,-0.175326163018591,1.0,0.5060835628149013,margin
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,coarse_to_fine,1,True,0.0001596384807540234,0.6500769584616812,1.0,0.4172136847531087,accepted
4507-16021-0025_1188-133604-0025_4992-23283-0016,s1,gated_deflation,0,True,0.00018342519574962582,0.2391396128079074,0.9292248062015503,0.4578781119493728,accepted
4507-16021-0025_1188-133604-0025_4992-23283-0016,s2,gated_deflation,0,False,0.0,-0.04136395860024811,0.9981201550387597,0.5243583507619379,margin
4507-16021-0025_1188-133604-0025_4992-23283-0016,s3,gated_deflation,0,True,0.0,0.2461149559030234,1.0,0.7166697283037533,accepted
4507-16021-0025_1188-133604-0025_4992-23283-0016,s1,coarse_to_fine,0,True,0.00018342519574962582,0.1973060622827641,0.9822868217054264,0.27061774011423206,accepted
4507-16021-0025_1188-133604-0025_4992-23283-0016,s2,coarse_to_fine,0,False,0.0,-0.2889786618252017,1.0,0.30090976181683926,margin
4507-16021-0025_1188-133604-0025_4992-23283-0016,s3,coarse_to_fine,0,False,0.0,-0.022156038953730306,1.0,0.2889047392114038,margin
4507-16021-0025_1188-133604-0025_4992-23283-0016,s1,coarse_to_fine,1,True,0.00018342519574962582,0.5387626842718788,0.9822093023255813,0.2732567379327222,accepted
4507-16021-0025_1188-133604-0025_4992-23283-0016,s2,coarse_to_fine,1,False,0.0,-0.5959687084904752,1.0,0.30090976181683926,margin
4507-16021-0025_1188-133604-0025_4992-23283-0016,s3,coarse_to_fine,1,False,0.0,-0.35492496917390143,1.0,0.2889047392114038,margin
5142-36377-0017_2830-3980-0022_3729-6852-0038,s1,gated_deflation,0,True,0.0,0.2889090941943305,1.0,0.7095148284823402,accepted
5142-36377-0017_2830-3980-0022_3729-6852-0038,s2,gated_deflation,0,True,0.0,0.12755566517097267,1.0,0.77283757932745,accepted
5142-36377-0017_2830-3980-0022_3729-6852-0038,s3,gated_deflation,0,False,0.0002628715444140093,0.04533915262384697,0.9896540027137042,0.6351862751194454,margin
5142-36377-0017_2830-3980-0022_3729-6852-0038,s1,coarse_to_fine,0,True,0.0,0.20039229319157634,1.0,0.5472048574302362,accepted
5142-36377-0017_2830-3980-0022_3729-6852-0038,s2,coarse_to_fine,0,False,0.0,-0.020937989428514492,1.0,0.5337599303005844,margin
5142-36377-0017_2830-3980-0022_3729-6852-0038,s3,coarse_to_fine,0,False,0.0002628715444140093,-0.1573050639925626,1.0,0.4869326123285689,margin
5142-36377-0017_2830-3980-0022_3729-6852-0038,s1,coarse_to_fine,1,True,0.0,0.4971510096118865,1.0,0.5570211736814378,accepted
5142-36377-0017_2830-3980-0022_3729-6852-0038,s2,coarse_to_fine,1,False,0.0,-0.20292796505575694,1.0,0.5337599303005844,margin
5142-36377-0017_2830-3980-0022_3729-6852-0038,s3,coarse_to_fine,1,False,0.0002628715444140093,-0.3877730622393448,1.0,0.4869326123285689,margin
7021-79759-0005_4507-16021-0058_260-123288-0005,s1,gated_deflation,0,False,0.0,-0.17365921955428576,0.9873484848484848,0.44509427485495046,margin
7021-79759-0005_4507-16021-0058_260-123288-0005,s2,gated_deflation,0,False,0.0,0.08214174035887084,1.0,0.8832067568661632,margin
7021-79759-0005_4507-16021-0058_260-123288-0005,s3,gated_deflation,0,True,0.0,0.28666998812512334,0.991904761904762,0.5152500088481391,accepted
7021-79759-0005_4507-16021-0058_260-123288-0005,s1,coarse_to_fine,0,False,0.0,-0.33025634870109377,0.9873484848484848,0.34810098911066584,margin
7021-79759-0005_4507-16021-0058_260-123288-0005,s2,coarse_to_fine,0,False,0.0,-0.06445032957916824,1.0,0.4049837265314987,margin
7021-79759-0005_4507-16021-0058_260-123288-0005,s3,coarse_to_fine,0,True,0.0,0.3397547299191485,0.991904761904762,0.41024452381241694,accepted
7021-79759-0005_4507-16021-0058_260-123288-0005,s1,coarse_to_fine,1,False,0.0,-0.5398048291816274,0.9873484848484848,0.34810098911066584,margin
7021-79759-0005_4507-16021-0058_260-123288-0005,s2,coarse_to_fine,1,False,0.0,-0.09758349394749208,1.0,0.4049837265314987,margin
7021-79759-0005_4507-16021-0058_260-123288-0005,s3,coarse_to_fine,1,True,0.0,0.5370239010066653,0.9872510822510823,0.3553606747222256,accepted
672-122797-0044_8463-294828-0013_4507-16021-0043,s1,gated_deflation,0,True,0.0,0.24935620821476195,1.0,0.7863500539843481,accepted
672-122797-0044_8463-294828-0013_4507-16021-0043,s2,gated_deflation,0,True,0.00012839922730585365,0.690479785990727,0.9661371237458194,0.6802089804233877,accepted
672-122797-0044_8463-294828-0013_4507-16021-0043,s3,gated_deflation,0,False,0.0,-0.1392796102932995,0.9744983277591973,0.7724245408356524,margin
672-122797-0044_8463-294828-0013_4507-16021-0043,s1,coarse_to_fine,0,True,0.0,0.21096581172894327,1.0,0.4779999914324689,accepted
672-122797-0044_8463-294828-0013_4507-16021-0043,s2,coarse_to_fine,0,True,0.00012839922730585365,0.299527137166386,0.9752508361204013,0.5871924758576078,accepted
672-122797-0044_8463-294828-0013_4507-16021-0043,s3,coarse_to_fine,0,False,0.0,-0.38839398497865835,0.9771739130434782,0.42944730779848717,margin
672-122797-0044_8463-294828-0013_4507-16021-0043,s1,coarse_to_fine,1,True,0.0,0.47658995359107803,1.0,0.4865574598984767,accepted
672-122797-0044_8463-294828-0013_4507-16021-0043,s2,coarse_to_fine,1,True,0.00012839922730585365,0.7124113825861377,0.9672240802675586,0.5345321441842006,accepted
672-122797-0044_8463-294828-0013_4507-16021-0043,s3,coarse_to_fine,1,False,0.0,-0.6690986521896809,0.9771739130434782,0.42944730779848717,margin
6930-81414-0001_1995-1836-0006_121-121726-0014,s1,gated_deflation,0,True,0.00011719836239998562,0.613694924131104,1.0,0.5747590304919515,accepted
6930-81414-0001_1995-1836-0006_121-121726-0014,s2,gated_deflation,0,True,0.0,0.20277649511723728,1.0,0.7482562179750459,accepted
6930-81414-0001_1995-1836-0006_121-121726-0014,s3,gated_deflation,0,False,0.0,0.11725001607932306,1.0,0.9222552745787906,artifact_score
6930-81414-0001_1995-1836-0006_121-121726-0014,s1,coarse_to_fine,0,True,0.00011719836239998562,0.38768494306679036,1.0,0.5710447053694786,accepted
6930-81414-0001_1995-1836-0006_121-121726-0014,s2,coarse_to_fine,0,True,0.0,0.37411950257152177,1.0,0.3655080764612319,accepted
6930-81414-0001_1995-1836-0006_121-121726-0014,s3,coarse_to_fine,0,False,0.0,-0.14833231620115572,1.0,0.462857489789258,margin
6930-81414-0001_1995-1836-0006_121-121726-0014,s1,coarse_to_fine,1,True,0.00011719836239998562,0.6478296667711119,1.0,0.5646669928489871,accepted
6930-81414-0001_1995-1836-0006_121-121726-0014,s2,coarse_to_fine,1,True,0.0,0.5745008274012996,1.0,0.3349171683349856,accepted
6930-81414-0001_1995-1836-0006_121-121726-0014,s3,coarse_to_fine,1,False,0.0,-0.19468439450815,1.0,0.462857489789258,margin
8555-284449-0002_1995-1837-0004_1089-134686-0002,s1,gated_deflation,0,True,9.881040225663392e-05,0.39677885007638586,1.0,0.4633931350814699,accepted
8555-284449-0002_1995-1837-0004_1089-134686-0002,s2,gated_deflation,0,True,0.0,0.2486347054027202,0.9972481343283582,0.6577842899613723,accepted
8555-284449-0002_1995-1837-0004_1089-134686-0002,s3,gated_deflation,0,True,0.0,0.42946449138815357,1.0,0.6828251896861057,accepted
8555-284449-0002_1995-1837-0004_1089-134686-0002,s1,coarse_to_fine,0,False,9.881040225663392e-05,-0.20817282792156705,1.0,0.35451316460757687,margin
8555-284449-0002_1995-1837-0004_1089-134686-0002,s2,coarse_to_fine,0,True,0.0,0.27219629701117587,1.0,0.28134519502583405,accepted
8555-284449-0002_1995-1837-0004_1089-134686-0002,s3,coarse_to_fine,0,True,0.0,0.3584385851767544,1.0,0.3943530470684008,accepted
8555-284449-0002_1995-1837-0004_1089-134686-0002,s1,coarse_to_fine,1,False,9.881040225663392e-05,-0.4727526843958715,1.0,0.35451316460757687,margin
8555-284449-0002_1995-1837-0004_1089-134686-0002,s2,coarse_to_fine,1,True,0.0,0.5652720018416839,1.0,0.2879200756574538,accepted
8555-284449-0002_1995-1837-0004_1089-134686-0002,s3,coarse_to_fine,1,True,0.0,0.5524964317365912,1.0,0.41472764335983076,accepted
7021-85628-0027_3575-170457-0025_8555-292519-0010,s1,gated_deflation,0,True,0.0,0.3775770110057074,1.0,0.4618552663781926,accepted
7021-85628-0027_3575-170457-0025_8555-292519-0010,s2,gated_deflation,0,True,0.00033402879896674784,0.2607553187873387,1.0,0.4401699026617119,accepted
7021-85628-0027_3575-170457-0025_8555-292519-0010,s3,gated_deflation,0,False,0.0,-0.05114385321312154,1.0,0.6302488507966879,margin
7021-85628-0027_3575-170457-0025_8555-292519-0010,s1,coarse_to_fine,0,True,0.0,0.11983335885062102,1.0,0.28155401504157956,accepted
7021-85628-0027_3575-170457-0025_8555-292519-0010,s2,coarse_to_fine,0,True,0.00033402879896674784,0.23393259965312396,0.9893166666666666,0.30011693334738765,accepted
7021-85628-0027_3575-170457-0025_8555-292519-0010,s3,coarse_to_fine,0,False,0.0,-0.2622734915373041,0.9813941299790356,0.25307025050878396,margin
7021-85628-0027_3575-170457-0025_8555-292519-0010,s1,coarse_to_fine,1,True,0.0,0.16448311172713426,1.0,0.2502952256849806,accepted
7021-85628-0027_3575-170457-0025_8555-292519-0010,s2,coarse_to_fine,1,True,0.00033402879896674784,0.41929623029900753,1.0,0.3700138343399989,accepted
7021-85628-0027_3575-170457-0025_8555-292519-0010,s3,coarse_to_fine,1,False,0.0,-0.5557189322953917,0.9813941299790356,0.25307025050878396,margin
5639-40744-0012_1221-135766-0005_260-123286-0015,s1,gated_deflation,0,True,0.0,0.1742069326857929,1.0,0.7474192077899975,accepted
5639-40744-0012_1221-135766-0005_260-123286-0015,s2,gated_deflation,0,True,0.00018783607609981645,0.587555738053873,1.0,0.6027586845724381,accepted
5639-40744-0012_1221-135766-0005_260-123286-0015,s3,gated_deflation,0,False,0.0,-0.00762816247714454,1.0,0.8551034837480787,margin
5639-40744-0012_1221-135766-0005_260-123286-0015,s1,coarse_to_fine,0,False,0.0,-0.0009875580697087938,1.0,0.45308358134069093,margin
5639-40744-0012_1221-135766-0005_260-123286-0015,s2,coarse_to_fine,0,True,0.00018783607609981645,0.5131683385655048,1.0,0.6001968944055014,accepted
5639-40744-0012_1221-135766-0005_260-123286-0015,s3,coarse_to_fine,0,False,0.0,0.010810591893700372,1.0,0.4969904636324624,margin
5639-40744-0012_1221-135766-0005_260-123286-0015,s1,coarse_to_fine,1,False,0.0,-0.0009875580697087938,1.0,0.45308358134069093,margin
5639-40744-0012_1221-135766-0005_260-123286-0015,s2,coarse_to_fine,1,True,0.00018783607609981645,0.7352557190947144,1.0,0.5972839088094829,accepted
5639-40744-0012_1221-135766-0005_260-123286-0015,s3,coarse_to_fine,1,False,0.0,0.010810591893700372,1.0,0.4969904636324624,margin
260-123286-0003_1221-135766-0008_2830-3980-0067,s1,gated_deflation,0,False,0.0,-0.10165305098202165,1.0,0.6434265064352431,margin
260-123286-0003_1221-135766-0008_2830-3980-0067,s2,gated_deflation,0,True,8.539911346546257e-05,0.3757123424256297,1.0,0.6407776533620343,accepted
260-123286-0003_1221-135766-0008_2830-3980-0067,s3,gated_deflation,0,True,0.0,0.17567760741388377,1.0,0.6666643909328073,accepted
260-123286-0003_1221-135766-0008_2830-3980-0067,s1,coarse_to_fine,0,False,0.0,-0.2570533384770849,1.0,0.3609455662846764,margin
260-123286-0003_1221-135766-0008_2830-3980-0067,s2,coarse_to_fine,0,True,8.539911346546257e-05,0.18452030598430508,1.0,0.5816281822599192,accepted
260-123286-0003_1221-135766-0008_2830-3980-0067,s3,coarse_to_fine,0,True,0.0,0.14966217926545716,1.0,0.5084355685857125,accepted
260-123286-0003_1221-135766-0008_2830-3980-0067,s1,coarse_to_fine,1,False,0.0,-0.418606796083279,1.0,0.3609455662846764,margin
260-123286-0003_1221-135766-0008_2830-3980-0067,s2,coarse_to_fine,1,True,8.539911346546257e-05,0.2801148730868198,1.0,0.5530181677935061,accepted
260-123286-0003_1221-135766-0008_2830-3980-0067,s3,coarse_to_fine,1,True,0.0,0.3567141377446614,1.0,0.5090060047622929,accepted
260-123286-0005_4992-41797-0009_61-70968-0030,s1,gated_deflation,0,False,0.0,0.01585267640034521,1.0,0.8112383149406672,margin
