scene,speaker,system,m,depth,si_sdr,deflation_index,n_accepted_before,refine_rounds
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s1,no_recursion,5,1,inf,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s1,no_recursion,5,2,nan,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s1,no_recursion,5,3,nan,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s1,no_recursion,5,4,nan,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s1,no_recursion,5,5,-5.744059449215115,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s2,no_recursion,5,1,inf,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s2,no_recursion,5,2,-23.756565130424335,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s2,no_recursion,5,3,-0.7467671776381614,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s2,no_recursion,5,4,0.2720927538612966,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s2,no_recursion,5,5,-11.306488463815151,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s3,no_recursion,5,1,61.58643633657419,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s3,no_recursion,5,2,18.038752713901825,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s3,no_recursion,5,3,2.1427956750806434,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s3,no_recursion,5,4,-8.552507359017405,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s3,no_recursion,5,5,-2.3605793833291377,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s4,no_recursion,5,1,inf,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s4,no_recursion,5,2,nan,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s4,no_recursion,5,3,nan,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s4,no_recursion,5,4,-10.342795158798344,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s4,no_recursion,5,5,-6.537331278152164,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s5,no_recursion,5,1,32.59379913658792,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s5,no_recursion,5,2,nan,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s5,no_recursion,5,3,-9.649447954978015,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s5,no_recursion,5,4,-31.395837635662225,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s5,no_recursion,5,5,-3.018360272913873,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s1,ungated_deflation,5,1,inf,0,0,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s1,ungated_deflation,5,2,nan,0,0,0
