scene,speaker,system,m,depth,si_sdr,deflation_index,n_accepted_before,refine_rounds
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s1,no_recursion,5,1,inf,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s1,no_recursion,5,2,nan,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s1,no_recursion,5,3,nan,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s1,no_recursion,5,4,nan,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s1,no_recursion,5,5,-5.159783861135895,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s2,no_recursion,5,1,inf,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s2,no_recursion,5,2,-26.5453345414626,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s2,no_recursion,5,3,-1.276567117816938,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s2,no_recursion,5,4,4.382737989410653,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s2,no_recursion,5,5,-10.640113290324933,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s3,no_recursion,5,1,61.416324522998806,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s3,no_recursion,5,2,23.01606393999995,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s3,no_recursion,5,3,4.962282693674781,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s3,no_recursion,5,4,-7.396164097182676,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s3,no_recursion,5,5,-0.6022067584067424,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s4,no_recursion,5,1,inf,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s4,no_recursion,5,2,nan,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s4,no_recursion,5,3,nan,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s4,no_recursion,5,4,-14.409322649385103,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s4,no_recursion,5,5,-6.504637806408064,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s5,no_recursion,5,1,35.252944458734376,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s5,no_recursion,5,2,nan,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s5,no_recursion,5,3,-8.839576168290744,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s5,no_recursion,5,4,-38.52395548313557,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s5,no_recursion,5,5,-4.267785472531035,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s1,ungated_deflation,5,1,inf,0,0,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s1,ungated_deflation,5,2,nan,0,0,0
