scene,speaker,system,depth,si_sdr
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,no_recursion,1,inf
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,no_recursion,2,nan
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,no_recursion,3,3.9768401919040315
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,no_recursion,1,inf
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,no_recursion,2,1.9662896847818299
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,no_recursion,3,-7.9044289560556305
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,no_recursion,1,24.403703284227003
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,no_recursion,2,7.965778263035686
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,no_recursion,3,9.983405710176674
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,ungated_deflation,1,inf
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,ungated_deflation,2,nan
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,ungated_deflation,3,3.9768401919040315
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,ungated_deflation,1,inf
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,ungated_deflation,2,-2.164796594243171
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,ungated_deflation,3,-10.491050256892283
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,ungated_deflation,1,21.806618433720296
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,ungated_deflation,2,2.3838305538958107
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,ungated_deflation,3,-0.6440205189826258
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,gated_deflation,1,inf
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,gated_deflation,2,nan
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,gated_deflation,3,3.9768401919040315
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,gated_deflation,1,inf
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,gated_deflation,2,-2.164796594243171
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,gated_deflation,3,-10.491050256892283
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,gated_deflation,1,21.80733785016272
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,gated_deflation,2,6.79254003849346
