scene,speaker,system,depth,si_sdr
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,no_recursion,1,inf
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,no_recursion,2,nan
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,no_recursion,3,2.0186958457164588
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,no_recursion,1,inf
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,no_recursion,2,3.0111961040943305
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,no_recursion,3,-3.0427119895435646
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,no_recursion,1,27.35267945102389
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,no_recursion,2,7.380755690185321
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,no_recursion,3,9.402741953081449
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,ungated_deflation,1,inf
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,ungated_deflation,2,nan
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,ungated_deflation,3,2.0186958457164588
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,ungated_deflation,1,inf
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,ungated_deflation,2,-0.3211159198385005
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,ungated_deflation,3,-9.429089092788843
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,ungated_deflation,1,21.923785679251626
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,ungated_deflation,2,4.863967867015771
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,ungated_deflation,3,-0.6961538469809561
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,gated_deflation,1,inf
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,gated_deflation,2,nan
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,gated_deflation,3,2.0186958457164588
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,gated_deflation,1,inf
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,gated_deflation,2,-0.3211159198385005
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,gated_deflation,3,-9.429089092788843
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,gated_deflation,1,22.743681472632016
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,gated_deflation,2,9.154893157669278
