scene,diarization,m,der,miss_rate,false_alarm_rate,confusion_rate,overlap_recall,n_ref,n_pred,n_missed_speakers,n_spurious_clusters,total_speech
long_00000_5639-61-121,oracle,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1286120
long_00000_5639-61-121,real,3,0.13507293254128697,0.13507293254128697,0.0,0.0,0.8162260967379078,3,3,0,0,1286120
long_00000_5639-61-121,real_forced_m,3,0.13507293254128697,0.13507293254128697,0.0,0.0,0.8162260967379078,3,3,0,0,1286120
long_00000_5639-61-121,real_index_order,3,0.13507293254128697,0.13507293254128697,0.0,0.0,0.8162260967379078,3,3,0,0,1286120
long_00001_3729-2300-8230,oracle,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1363840
long_00001_3729-2300-8230,real,3,0.08557455419990614,0.08557455419990614,0.0,0.0,0.7516317650258363,3,3,0,0,1363840
long_00001_3729-2300-8230,real_forced_m,3,0.08557455419990614,0.08557455419990614,0.0,0.0,0.7516317650258363,3,3,0,0,1363840
long_00001_3729-2300-8230,real_index_order,3,0.08557455419990614,0.08557455419990614,0.0,0.0,0.7516317650258363,3,3,0,0,1363840
long_00002_4077-237-2300,oracle,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1331960
long_00002_4077-237-2300,real,3,0.07514114537974113,0.07412760142947236,0.0,0.0010135439502687769,0.7935085623257666,3,3,0,0,1331960
long_00002_4077-237-2300,real_forced_m,3,0.07514114537974113,0.07412760142947236,0.0,0.0010135439502687769,0.7935085623257666,3,3,0,0,1331960
long_00002_4077-237-2300,real_index_order,3,0.07514114537974113,0.07412760142947236,0.0,0.0010135439502687769,0.7935085623257666,3,3,0,0,1331960
long_00003_4507-7176-8455,oracle,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1296040
long_00003_4507-7176-8455,real,3,0.15138035863090646,0.12221459214221783,0.0,0.02916576648868862,0.8136584039516019,3,3,0,0,1296040
long_00003_4507-7176-8455,real_forced_m,3,0.15138035863090646,0.12221459214221783,0.0,0.02916576648868862,0.8136584039516019,3,3,0,0,1296040
long_00003_4507-7176-8455,real_index_order,3,0.15138035863090646,0.12221459214221783,0.0,0.02916576648868862,0.8136584039516019,3,3,0,0,1296040
long_00004_5639-61-1089,oracle,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1254440
long_00004_5639-61-1089,real,3,0.10736344504320652,0.10736344504320652,0.0,0.0,0.5930816237450894,3,3,0,0,1254440
long_00004_5639-61-1089,real_forced_m,3,0.10736344504320652,0.10736344504320652,0.0,0.0,0.5930816237450894,3,3,0,0,1254440
long_00004_5639-61-1089,real_index_order,3,0.10736344504320652,0.10736344504320652,0.0,0.0,0.5930816237450894,3,3,0,0,1254440
