diarization,dilate_ms,scene,speaker,system,m,depth,si_sdr,deflation_index,n_accepted_before,refine_rounds,cluster,n_clusters
oracle,0.0,long_00000_5639-61-121,s1,no_recursion,3,1,60.79937408547777,,,0,s1,3
oracle,0.0,long_00000_5639-61-121,s1,no_recursion,3,2,-6.393495756449742,,,0,s1,3
oracle,0.0,long_00000_5639-61-121,s2,no_recursion,3,1,57.86617938150278,,,0,s2,3
oracle,0.0,long_00000_5639-61-121,s2,no_recursion,3,2,1.6907653768561186,,,0,s2,3
oracle,0.0,long_00000_5639-61-121,s3,no_recursion,3,1,88.15197268806631,,,0,s3,3
oracle,0.0,long_00000_5639-61-121,s3,no_recursion,3,2,-1.5335468985049363,,,0,s3,3
oracle,0.0,long_00000_5639-61-121,s1,ungated_deflation,3,1,60.79937408547777,0,0,0,s1,3
oracle,0.0,long_00000_5639-61-121,s1,ungated_deflation,3,2,-6.393495756449742,0,0,0,s1,3
oracle,0.0,long_00000_5639-61-121,s2,ungated_deflation,3,1,55.46900999904043,1,1,0,s2,3
oracle,0.0,long_00000_5639-61-121,s2,ungated_deflation,3,2,0.6954384403734125,1,1,0,s2,3
oracle,0.0,long_00000_5639-61-121,s3,ungated_deflation,3,1,78.91846757361118,2,2,0,s3,3
oracle,0.0,long_00000_5639-61-121,s3,ungated_deflation,3,2,-5.828020511724853,2,2,0,s3,3
oracle,0.0,long_00000_5639-61-121,s1,gated_deflation,3,1,60.79937408547777,0,0,0,s1,3
oracle,0.0,long_00000_5639-61-121,s1,gated_deflation,3,2,-6.393495756449742,0,0,0,s1,3
oracle,0.0,long_00000_5639-61-121,s2,gated_deflation,3,1,55.46900999904043,1,1,0,s2,3
oracle,0.0,long_00000_5639-61-121,s2,gated_deflation,3,2,0.6954384403734125,1,1,0,s2,3
oracle,0.0,long_00000_5639-61-121,s3,gated_deflation,3,1,78.91846757361118,2,2,0,s3,3
oracle,0.0,long_00000_5639-61-121,s3,gated_deflation,3,2,-5.828020511724853,2,2,0,s3,3
oracle,0.0,long_00000_5639-61-121,s1,coarse_to_fine,3,1,60.79937408547777,,,2,s1,3
oracle,0.0,long_00000_5639-61-121,s1,coarse_to_fine,3,2,-6.393495756449742,,,2,s1,3
oracle,0.0,long_00000_5639-61-121,s2,coarse_to_fine,3,1,57.71908169433836,,,2,s2,3
oracle,0.0,long_00000_5639-61-121,s2,coarse_to_fine,3,2,1.349597689868233,,,2,s2,3
oracle,0.0,long_00000_5639-61-121,s3,coarse_to_fine,3,1,88.15197268806631,,,2,s3,3
oracle,0.0,long_00000_5639-61-121,s3,coarse_to_fine,3,2,-1.5335468985049363,,,2,s3,3
oracle,50.0,long_00000_5639-61-121,s1,no_recursion,3,1,31.005224693244543,,,0,s1,3
oracle,50.0,long_00000_5639-61-121,s1,no_recursion,3,2,-6.380929826517812,,,0,s1,3
oracle,50.0,long_00000_5639-61-121,s2,no_recursion,3,1,16.214633694116465,,,0,s2,3
oracle,50.0,long_00000_5639-61-121,s2,no_recursion,3,2,1.6314855015452716,,,0,s2,3
oracle,50.0,long_00000_5639-61-121,s3,no_recursion,3,1,75.34197827460912,,,0,s3,3
oracle,50.0,long_00000_5639-61-121,s3,no_recursion,3,2,-1.533892241039996,,,0,s3,3
oracle,50.0,long_00000_5639-61-121,s1,ungated_deflation,3,1,31.005224693244543,0,0,0,s1,3
oracle,50.0,long_00000_5639-61-121,s1,ungated_deflation,3,2,-6.380929826517812,0,0,0,s1,3
oracle,50.0,long_00000_5639-61-121,s2,ungated_deflation,3,1,17.03812119844587,1,1,0,s2,3
oracle,50.0,long_00000_5639-61-121,s2,ungated_deflation,3,2,0.6982692357448768,1,1,0,s2,3
oracle,50.0,long_00000_5639-61-121,s3,ungated_deflation,3,1,65.21896119535641,2,2,0,s3,3
oracle,50.0,long_00000_5639-61-121,s3,ungated_deflation,3,2,-5.792620780234634,2,2,0,s3,3
oracle,50.0,long_00000_5639-61-121,s1,gated_deflation,3,1,31.005224693244543,0,0,0,s1,3
oracle,50.0,long_00000_5639-61-121,s1,gated_deflation,3,2,-6.380929826517812,0,0,0,s1,3
