diarization,dilate_ms,scene,speaker,system,m,si_sdr,si_sdr_pooled,level_error_db,deflation_index,n_accepted_before,refine_rounds,cluster,n_clusters
oracle,0.0,long_00000_5639-61-121,s1,no_recursion,3,-18.932007442300712,1.0720169446724197,8.87890537874053,,,0,s1,3
oracle,0.0,long_00000_5639-61-121,s2,no_recursion,3,-13.230134704373672,4.773397566479478,5.152057019570431,,,0,s2,3
oracle,0.0,long_00000_5639-61-121,s3,no_recursion,3,-17.916071627357862,2.224154405713956,6.15427660578365,,,0,s3,3
oracle,0.0,long_00000_5639-61-121,s1,ungated_deflation,3,-18.932007442300712,1.0720169446724197,8.87890537874053,0,0,0,s1,3
oracle,0.0,long_00000_5639-61-121,s2,ungated_deflation,3,-8.921323013663992,3.7780665044408406,9.977014732605253,1,1,0,s2,3
oracle,0.0,long_00000_5639-61-121,s3,ungated_deflation,3,-12.38971807269753,-2.0703192211105286,16.46245005151544,2,2,0,s3,3
oracle,0.0,long_00000_5639-61-121,s1,gated_deflation,3,-18.932007442300712,1.0720169446724197,8.87890537874053,0,0,0,s1,3
oracle,0.0,long_00000_5639-61-121,s2,gated_deflation,3,-8.921323013663992,3.7780665044408406,9.977014732605253,1,1,0,s2,3
oracle,0.0,long_00000_5639-61-121,s3,gated_deflation,3,-12.38971807269753,-2.0703192211105286,16.46245005151544,2,2,0,s3,3
oracle,0.0,long_00000_5639-61-121,s1,coarse_to_fine,3,-18.932007442300712,1.0720169446724197,8.87890537874053,,,2,s1,3
oracle,0.0,long_00000_5639-61-121,s2,coarse_to_fine,3,-14.312139895545716,4.432230352750347,4.579654601923393,,,2,s2,3
oracle,0.0,long_00000_5639-61-121,s3,coarse_to_fine,3,-17.916071627357862,2.224154405713956,6.15427660578365,,,2,s3,3
oracle,200.0,long_00000_5639-61-121,s1,no_recursion,3,-19.285383827257668,0.8055484887820654,8.998134597605855,,,0,s1,3
oracle,200.0,long_00000_5639-61-121,s2,no_recursion,3,-13.19195020241966,4.210318825714321,5.235235435196099,,,0,s2,3
oracle,200.0,long_00000_5639-61-121,s3,no_recursion,3,-17.917499963559504,2.233865773518204,6.151387207285534,,,0,s3,3
oracle,200.0,long_00000_5639-61-121,s1,ungated_deflation,3,-19.285383827257668,0.8055484887820654,8.998134597605855,0,0,0,s1,3
oracle,200.0,long_00000_5639-61-121,s2,ungated_deflation,3,-8.942091299387599,3.498997649190027,9.936143064371848,1,1,0,s2,3
oracle,200.0,long_00000_5639-61-121,s3,ungated_deflation,3,-12.346169536323748,-2.0099142863453436,16.438708532946077,2,2,0,s3,3
oracle,200.0,long_00000_5639-61-121,s1,gated_deflation,3,-19.285383827257668,0.8055484887820654,8.998134597605855,0,0,0,s1,3
oracle,200.0,long_00000_5639-61-121,s2,gated_deflation,3,-8.942091299387599,3.498997649190027,9.936143064371848,1,1,0,s2,3
oracle,200.0,long_00000_5639-61-121,s3,gated_deflation,3,-12.346169536323748,-2.0099142863453436,16.438708532946077,2,2,0,s3,3
oracle,200.0,long_00000_5639-61-121,s1,coarse_to_fine,3,-19.285383827257668,0.8055484887820654,8.998134597605855,,,2,s1,3
oracle,200.0,long_00000_5639-61-121,s2,coarse_to_fine,3,-14.247029558291239,3.9222128139360937,4.664230627002329,,,2,s2,3
oracle,200.0,long_00000_5639-61-121,s3,coarse_to_fine,3,-17.917499963559504,2.233865773518204,6.151387207285534,,,2,s3,3
oracle,400.0,long_00000_5639-61-121,s1,no_recursion,3,-19.499898075309837,0.5627839806095963,9.092793741767654,,,0,s1,3
oracle,400.0,long_00000_5639-61-121,s2,no_recursion,3,-12.496312164639436,3.9678103594157705,5.685642528694722,,,0,s2,3
oracle,400.0,long_00000_5639-61-121,s3,no_recursion,3,-16.740463971862983,2.6908949859501097,6.556260337280735,,,0,s3,3
oracle,400.0,long_00000_5639-61-121,s1,ungated_deflation,3,-19.499898075309837,0.5627839806095963,9.092793741767654,0,0,0,s1,3
oracle,400.0,long_00000_5639-61-121,s2,ungated_deflation,3,-8.593898274841912,2.956799875295513,10.597702044434183,1,1,0,s2,3
oracle,400.0,long_00000_5639-61-121,s3,ungated_deflation,3,-12.119510828078743,-1.8645811428564936,16.644613056728524,2,2,0,s3,3
oracle,400.0,long_00000_5639-61-121,s1,gated_deflation,3,-19.499898075309837,0.5627839806095963,9.092793741767654,0,0,0,s1,3
oracle,400.0,long_00000_5639-61-121,s2,gated_deflation,3,-8.593898274841912,2.956799875295513,10.597702044434183,1,1,0,s2,3
oracle,400.0,long_00000_5639-61-121,s3,gated_deflation,3,-12.119510828078743,-1.8645811428564936,16.644613056728524,2,2,0,s3,3
oracle,400.0,long_00000_5639-61-121,s1,coarse_to_fine,3,-19.499898075309837,0.5627839806095963,9.092793741767654,,,2,s1,3
oracle,400.0,long_00000_5639-61-121,s2,coarse_to_fine,3,-13.548278267598448,3.723980224824765,5.058832200594639,,,2,s2,3
oracle,400.0,long_00000_5639-61-121,s3,coarse_to_fine,3,-16.740463971862983,2.6908949859501097,6.556260337280735,,,2,s3,3
oracle,800.0,long_00000_5639-61-121,s1,no_recursion,3,-20.13952362796425,0.3217498341379691,9.317809369003804,,,0,s1,3
oracle,800.0,long_00000_5639-61-121,s2,no_recursion,3,-11.295390511337622,2.5211129004084305,6.712382284460862,,,0,s2,3
oracle,800.0,long_00000_5639-61-121,s3,no_recursion,3,-16.364423088420306,1.8318211703808833,6.84160320446412,,,0,s3,3
oracle,800.0,long_00000_5639-61-121,s1,ungated_deflation,3,-20.13952362796425,0.3217498341379691,9.317809369003804,0,0,0,s1,3
oracle,800.0,long_00000_5639-61-121,s2,ungated_deflation,3,-8.041924053540823,1.6264490278412302,11.655474224088758,1,1,0,s2,3
oracle,800.0,long_00000_5639-61-121,s3,ungated_deflation,3,-12.050857204020978,-2.1305924735112884,17.03342848292226,2,2,0,s3,3
oracle,800.0,long_00000_5639-61-121,s1,gated_deflation,3,-20.13952362796425,0.3217498341379691,9.317809369003804,0,0,0,s1,3
oracle,800.0,long_00000_5639-61-121,s2,gated_deflation,3,-8.041924053540823,1.6264490278412302,11.655474224088758,1,1,0,s2,3
oracle,800.0,long_00000_5639-61-121,s3,gated_deflation,3,-12.050857204020978,-2.1305924735112884,17.03342848292226,2,2,0,s3,3
oracle,800.0,long_00000_5639-61-121,s1,coarse_to_fine,3,-20.13952362796425,0.3217498341379691,9.317809369003804,,,2,s1,3
oracle,800.0,long_00000_5639-61-121,s2,coarse_to_fine,3,-13.030910497768147,2.1999568390203246,5.568239830758842,,,2,s2,3
oracle,800.0,long_00000_5639-61-121,s3,coarse_to_fine,3,-16.364423088420306,1.8318211703808833,6.84160320446412,,,2,s3,3
real,0.0,long_00000_5639-61-121,s1,no_recursion,3,-17.66569132815926,1.4082322104708007,8.450444396929512,,,0,SPEAKER_01,3
real,0.0,long_00000_5639-61-121,s2,no_recursion,3,-22.253016956320444,1.005757512990712,2.1962626844693816,,,0,SPEAKER_02,3
real,0.0,long_00000_5639-61-121,s3,no_recursion,3,-14.195785097857936,3.0066700323355784,8.08044246619374,,,0,SPEAKER_00,3
real,0.0,long_00000_5639-61-121,s1,ungated_deflation,3,-17.66569132815926,1.4082322104708007,8.450444396929512,0,0,0,SPEAKER_01,3
real,0.0,long_00000_5639-61-121,s2,ungated_deflation,3,-12.758407658037882,1.4051851527441461,6.745063481420667,1,1,0,SPEAKER_02,3
real,0.0,long_00000_5639-61-121,s3,ungated_deflation,3,-12.4241237573717,-1.7840113704751395,15.564336164170353,2,2,0,SPEAKER_00,3
real,0.0,long_00000_5639-61-121,s1,gated_deflation,3,-17.66569132815926,1.4082322104708007,8.450444396929512,0,0,0,SPEAKER_01,3
real,0.0,long_00000_5639-61-121,s2,gated_deflation,3,-12.758407658037882,1.4051851527441461,6.745063481420667,1,1,0,SPEAKER_02,3
real,0.0,long_00000_5639-61-121,s3,gated_deflation,3,-12.4241237573717,-1.7840113704751395,15.564336164170353,2,2,0,SPEAKER_00,3
real,0.0,long_00000_5639-61-121,s1,coarse_to_fine,3,-17.66569132815926,1.4082322104708007,8.450444396929512,,,2,SPEAKER_01,3
