scene,diarization,dilate_ms,m,der,miss_rate,false_alarm_rate,confusion_rate,overlap_recall,n_ref,n_pred,n_missed_speakers,n_spurious_clusters,total_speech,mask_overlap_recall,mask_overlap_false_alarm
long_00000_5639-61-121,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1286120,1.0,0.0
long_00000_5639-61-121,real,0.0,3,0.13507293254128697,0.13507293254128697,0.0,0.0,0.8162260967379078,3,3,0,0,1286120,0.8162260967379078,0.0
long_00000_5639-61-121,real_index_order,0.0,3,0.13507293254128697,0.13507293254128697,0.0,0.0,0.8162260967379078,3,3,0,0,1286120,0.8162260967379078,0.0
long_00001_3729-2300-8230,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1363840,1.0,0.0
long_00001_3729-2300-8230,real,0.0,3,0.08557455419990614,0.08557455419990614,0.0,0.0,0.7516317650258363,3,3,0,0,1363840,0.7516317650258363,0.0
long_00001_3729-2300-8230,real_index_order,0.0,3,0.08557455419990614,0.08557455419990614,0.0,0.0,0.7516317650258363,3,3,0,0,1363840,0.7516317650258363,0.0
long_00002_4077-237-2300,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1331960,1.0,0.0
long_00002_4077-237-2300,real,0.0,3,0.07514114537974113,0.07412760142947236,0.0,0.0010135439502687769,0.7935085623257666,3,3,0,0,1331960,0.7935085623257666,0.0
long_00002_4077-237-2300,real_index_order,0.0,3,0.07514114537974113,0.07412760142947236,0.0,0.0010135439502687769,0.7935085623257666,3,3,0,0,1331960,0.7935085623257666,0.0
long_00003_4507-7176-8455,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1296040,1.0,0.0
long_00003_4507-7176-8455,real,0.0,3,0.15138035863090646,0.12221459214221783,0.0,0.02916576648868862,0.8136584039516019,3,3,0,0,1296040,0.8136584039516019,0.0
long_00003_4507-7176-8455,real_index_order,0.0,3,0.15138035863090646,0.12221459214221783,0.0,0.02916576648868862,0.8136584039516019,3,3,0,0,1296040,0.8136584039516019,0.0
long_00004_5639-61-1089,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1254440,1.0,0.0
long_00004_5639-61-1089,real,0.0,3,0.10736344504320652,0.10736344504320652,0.0,0.0,0.5930816237450894,3,3,0,0,1254440,0.5930816237450894,0.0
long_00004_5639-61-1089,real_index_order,0.0,3,0.10736344504320652,0.10736344504320652,0.0,0.0,0.5930816237450894,3,3,0,0,1254440,0.5930816237450894,0.0
long_00005_3570-908-4507,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1569880,1.0,0.0
long_00005_3570-908-4507,real,0.0,3,0.15858091064285168,0.10110645399648381,0.0,0.057474456646367876,0.7516453065465881,3,3,0,0,1569880,0.7516453065465881,0.0
long_00005_3570-908-4507,real_index_order,0.0,3,0.15858091064285168,0.10110645399648381,0.0,0.057474456646367876,0.7516453065465881,3,3,0,0,1569880,0.7516453065465881,0.0
long_00006_1089-8230-7176,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1267281,1.0,0.0
long_00006_1089-8230-7176,real,0.0,3,0.049670120517864624,0.0495635932362278,0.0,0.00010652728163682719,0.7896301650965395,3,3,0,0,1267281,0.7896301650965395,0.0
long_00006_1089-8230-7176,real_index_order,0.0,3,0.049670120517864624,0.0495635932362278,0.0,0.00010652728163682719,0.7896301650965395,3,3,0,0,1267281,0.7896301650965395,0.0
long_00007_1188-4077-121,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1350840,1.0,0.0
long_00007_1188-4077-121,real,0.0,3,0.10615616949453674,0.10615616949453674,0.0,0.0,0.8213863434821165,3,3,0,0,1350840,0.8213863434821165,0.0
long_00007_1188-4077-121,real_index_order,0.0,3,0.10615616949453674,0.10615616949453674,0.0,0.0,0.8213863434821165,3,3,0,0,1350840,0.8213863434821165,0.0
long_00008_672-5639-121,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1332200,1.0,0.0
long_00008_672-5639-121,real,0.0,3,0.15992343491968172,0.1111807536405945,0.0,0.04874268127908722,0.8710235757274085,3,3,0,0,1332200,0.8710235757274085,0.0
long_00008_672-5639-121,real_index_order,0.0,3,0.15992343491968172,0.1111807536405945,0.0,0.04874268127908722,0.8710235757274085,3,3,0,0,1332200,0.8710235757274085,0.0
long_00009_4992-5105-1580,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1368601,1.0,0.0
long_00009_4992-5105-1580,real,0.0,3,0.11558591583668286,0.11558591583668286,0.0,0.0,0.7917247497148651,3,3,0,0,1368601,0.7917247497148651,0.0
