diarization,dilate_ms,scene,speaker,system,m,depth,si_sdr,deflation_index,n_accepted_before,refine_rounds,cluster,n_clusters
oracle,0.0,long_00000_5639-61-121,s1,no_recursion,3,1,60.79937408547777,,,0,s1,3
oracle,0.0,long_00000_5639-61-121,s1,no_recursion,3,2,-6.393495756449742,,,0,s1,3
oracle,0.0,long_00000_5639-61-121,s2,no_recursion,3,1,57.86617938150278,,,0,s2,3
oracle,0.0,long_00000_5639-61-121,s2,no_recursion,3,2,1.6907653768561186,,,0,s2,3
oracle,0.0,long_00000_5639-61-121,s3,no_recursion,3,1,88.15197268806631,,,0,s3,3
oracle,0.0,long_00000_5639-61-121,s3,no_recursion,3,2,-1.5335468985049363,,,0,s3,3
oracle,0.0,long_00000_5639-61-121,s1,ungated_deflation,3,1,60.79937408547777,0,0,0,s1,3
oracle,0.0,long_00000_5639-61-121,s1,ungated_deflation,3,2,-6.393495756449742,0,0,0,s1,3
oracle,0.0,long_00000_5639-61-121,s2,ungated_deflation,3,1,55.46900999904043,1,1,0,s2,3
oracle,0.0,long_00000_5639-61-121,s2,ungated_deflation,3,2,0.6954384403734125,1,1,0,s2,3
oracle,0.0,long_00000_5639-61-121,s3,ungated_deflation,3,1,78.91846757361118,2,2,0,s3,3
oracle,0.0,long_00000_5639-61-121,s3,ungated_deflation,3,2,-5.828020511724853,2,2,0,s3,3
oracle,0.0,long_00000_5639-61-121,s1,gated_deflation,3,1,60.79937408547777,0,0,0,s1,3
oracle,0.0,long_00000_5639-61-121,s1,gated_deflation,3,2,-6.393495756449742,0,0,0,s1,3
oracle,0.0,long_00000_5639-61-121,s2,gated_deflation,3,1,55.46900999904043,1,1,0,s2,3
oracle,0.0,long_00000_5639-61-121,s2,gated_deflation,3,2,0.6954384403734125,1,1,0,s2,3
oracle,0.0,long_00000_5639-61-121,s3,gated_deflation,3,1,78.91846757361118,2,2,0,s3,3
oracle,0.0,long_00000_5639-61-121,s3,gated_deflation,3,2,-5.828020511724853,2,2,0,s3,3
oracle,0.0,long_00000_5639-61-121,s1,coarse_to_fine,3,1,60.79937408547777,,,0,s1,3
oracle,0.0,long_00000_5639-61-121,s1,coarse_to_fine,3,2,-6.393495756449742,,,0,s1,3
oracle,0.0,long_00000_5639-61-121,s2,coarse_to_fine,3,1,57.86617938150278,,,0,s2,3
oracle,0.0,long_00000_5639-61-121,s2,coarse_to_fine,3,2,1.6907653768561186,,,0,s2,3
oracle,0.0,long_00000_5639-61-121,s3,coarse_to_fine,3,1,88.15197268806631,,,0,s3,3
oracle,0.0,long_00000_5639-61-121,s3,coarse_to_fine,3,2,-1.5335468985049363,,,0,s3,3
oracle,400.0,long_00000_5639-61-121,s1,no_recursion,3,1,9.00167684254205,,,0,s1,3
oracle,400.0,long_00000_5639-61-121,s1,no_recursion,3,2,-6.359498587564937,,,0,s1,3
oracle,400.0,long_00000_5639-61-121,s2,no_recursion,3,1,8.08191893668201,,,0,s2,3
oracle,400.0,long_00000_5639-61-121,s2,no_recursion,3,2,1.8385240258299071,,,0,s2,3
oracle,400.0,long_00000_5639-61-121,s3,no_recursion,3,1,13.4316219475127,,,0,s3,3
oracle,400.0,long_00000_5639-61-121,s3,no_recursion,3,2,-0.849409781000061,,,0,s3,3
oracle,400.0,long_00000_5639-61-121,s1,ungated_deflation,3,1,9.00167684254205,0,0,0,s1,3
oracle,400.0,long_00000_5639-61-121,s1,ungated_deflation,3,2,-6.359498587564937,0,0,0,s1,3
oracle,400.0,long_00000_5639-61-121,s2,ungated_deflation,3,1,7.590744424722483,1,1,0,s2,3
oracle,400.0,long_00000_5639-61-121,s2,ungated_deflation,3,2,0.7088822442297499,1,1,0,s2,3
oracle,400.0,long_00000_5639-61-121,s3,ungated_deflation,3,1,14.38448278321519,2,2,0,s3,3
oracle,400.0,long_00000_5639-61-121,s3,ungated_deflation,3,2,-5.562221246874094,2,2,0,s3,3
oracle,400.0,long_00000_5639-61-121,s1,gated_deflation,3,1,9.00167684254205,0,0,0,s1,3
oracle,400.0,long_00000_5639-61-121,s1,gated_deflation,3,2,-6.359498587564937,0,0,0,s1,3
