diarization,dilate_ms,scene,speaker,system,round,accepted,mean_variance,margin,vad_coverage,artifact_score,reason,cluster
oracle,0.0,long_00000_5639-61-121,s1,gated_deflation,0,True,0.0,0.2919283970144312,1.0,0.7462035830805632,accepted,s1
oracle,0.0,long_00000_5639-61-121,s2,gated_deflation,0,True,0.0,0.4672379453662754,1.0,0.7597428275678949,accepted,s2
oracle,0.0,long_00000_5639-61-121,s3,gated_deflation,0,True,0.0,0.1646956259458311,1.0,0.8037475457688067,accepted,s3
oracle,0.0,long_00000_5639-61-121,s1,coarse_to_fine,0,True,0.0,0.6142354521511367,0.8248836988512295,0.37306124617014447,accepted,s1
oracle,0.0,long_00000_5639-61-121,s2,coarse_to_fine,0,True,0.0,0.5939421401825615,1.0,0.3779998167392007,accepted,s2
oracle,0.0,long_00000_5639-61-121,s3,coarse_to_fine,0,True,0.0,0.5561259123355793,0.7703569995988768,0.528026601607985,accepted,s3
oracle,0.0,long_00000_5639-61-121,s1,coarse_to_fine,1,True,0.0,0.649805923337653,0.8248836988512295,0.37306124617014447,accepted,s1
oracle,0.0,long_00000_5639-61-121,s2,coarse_to_fine,1,True,0.0,0.6306701660582115,1.0,0.3779998167392007,accepted,s2
oracle,0.0,long_00000_5639-61-121,s3,coarse_to_fine,1,True,0.0,0.6629546640293462,0.7703569995988768,0.528026601607985,accepted,s3
real,0.0,long_00000_5639-61-121,s1,gated_deflation,0,True,6.615377652459825e-05,0.2838246028300901,1.0,0.7683940383290094,accepted,SPEAKER_01
real,0.0,long_00000_5639-61-121,s2,gated_deflation,0,True,7.586842872326045e-05,0.5310369152183875,1.0,0.7737390769184821,accepted,SPEAKER_02
real,0.0,long_00000_5639-61-121,s3,gated_deflation,0,True,0.00014396216734769535,0.20779196364555597,1.0,0.8229255423672318,accepted,SPEAKER_00
real,0.0,long_00000_5639-61-121,s1,coarse_to_fine,0,True,6.615377652459825e-05,0.609748783957309,0.9238425925925926,0.3370716560775931,accepted,SPEAKER_01
real,0.0,long_00000_5639-61-121,s2,coarse_to_fine,0,True,7.586842872326045e-05,0.6678732620432559,1.0,0.3621612099259103,accepted,SPEAKER_02
real,0.0,long_00000_5639-61-121,s3,coarse_to_fine,0,True,0.00014396216734769535,0.5616769664992349,0.7686359530261969,0.4858632336621599,accepted,SPEAKER_00
real,0.0,long_00000_5639-61-121,s1,coarse_to_fine,1,True,6.615377652459825e-05,0.6933598683963942,0.9238425925925926,0.3370716560775931,accepted,SPEAKER_01
real,0.0,long_00000_5639-61-121,s2,coarse_to_fine,1,True,7.586842872326045e-05,0.7183269273281538,1.0,0.3621612099259103,accepted,SPEAKER_02
real,0.0,long_00000_5639-61-121,s3,coarse_to_fine,1,True,0.00014396216734769535,0.6810560610378762,0.7686359530261969,0.4858632336621599,accepted,SPEAKER_00
oracle,0.0,long_00001_3729-2300-8230,s1,gated_deflation,0,True,0.0,0.6294714688352175,0.9976456876456876,0.7729448051193253,accepted,s1
oracle,0.0,long_00001_3729-2300-8230,s2,gated_deflation,0,True,0.0,0.40392964797574377,0.98393164717614,0.7065526399266921,accepted,s2
oracle,0.0,long_00001_3729-2300-8230,s3,gated_deflation,0,True,0.0,0.502982758669255,0.9798888594866367,0.6967578921568345,accepted,s3
oracle,0.0,long_00001_3729-2300-8230,s1,coarse_to_fine,0,True,0.0,0.7817262842629356,0.8582362082362083,0.39606476763163323,accepted,s1
oracle,0.0,long_00001_3729-2300-8230,s2,coarse_to_fine,0,True,0.0,0.6669864478276873,0.8522683837581959,0.33043120668941134,accepted,s2
oracle,0.0,long_00001_3729-2300-8230,s3,coarse_to_fine,0,True,0.0,0.6854687136344602,0.8514892240745641,0.36417705696982716,accepted,s3
oracle,0.0,long_00001_3729-2300-8230,s1,coarse_to_fine,1,True,0.0,0.8236755471553568,0.8582362082362083,0.39606476763163323,accepted,s1
oracle,0.0,long_00001_3729-2300-8230,s2,coarse_to_fine,1,True,0.0,0.7016430658616639,0.8522683837581959,0.33043120668941134,accepted,s2
oracle,0.0,long_00001_3729-2300-8230,s3,coarse_to_fine,1,True,0.0,0.7110323519577262,0.8514892240745641,0.36417705696982716,accepted,s3
real,0.0,long_00001_3729-2300-8230,s1,gated_deflation,0,True,6.971299810599987e-05,0.5534367030162848,0.9986623953240038,0.7963464252755318,accepted,SPEAKER_02
real,0.0,long_00001_3729-2300-8230,s2,gated_deflation,0,True,5.354640335792748e-05,0.5021349728904962,0.9893059952761445,0.7189317089340304,accepted,SPEAKER_00
real,0.0,long_00001_3729-2300-8230,s3,gated_deflation,0,True,8.950516368376608e-05,0.45201219503249235,0.9853124289934105,0.7013783769995351,accepted,SPEAKER_01
real,0.0,long_00001_3729-2300-8230,s1,coarse_to_fine,0,True,6.971299810599987e-05,0.6662722529127811,0.9840384317371765,0.34470778949048964,accepted,SPEAKER_02
real,0.0,long_00001_3729-2300-8230,s2,coarse_to_fine,0,True,5.354640335792748e-05,0.7045539796526362,0.929367327667611,0.2745174272303938,accepted,SPEAKER_00
real,0.0,long_00001_3729-2300-8230,s3,coarse_to_fine,0,True,8.950516368376608e-05,0.5652163243385682,0.9271430070296925,0.37480189050665413,accepted,SPEAKER_01
real,0.0,long_00001_3729-2300-8230,s1,coarse_to_fine,1,True,6.971299810599987e-05,0.7781760358237766,0.9840384317371765,0.34470778949048964,accepted,SPEAKER_02
real,0.0,long_00001_3729-2300-8230,s2,coarse_to_fine,1,True,5.354640335792748e-05,0.7135845322475571,0.929367327667611,0.2745174272303938,accepted,SPEAKER_00
real,0.0,long_00001_3729-2300-8230,s3,coarse_to_fine,1,True,8.950516368376608e-05,0.6616912511846949,0.9271430070296925,0.37480189050665413,accepted,SPEAKER_01
oracle,0.0,long_00002_4077-237-2300,s1,gated_deflation,0,True,0.0,0.5032467029592427,1.0,0.7405644209649451,accepted,s1
oracle,0.0,long_00002_4077-237-2300,s2,gated_deflation,0,True,0.0,0.18598787735202182,0.9788154343112527,0.7851361748393484,accepted,s2
oracle,0.0,long_00002_4077-237-2300,s3,gated_deflation,0,True,0.0,0.4167860340516659,0.9782554978996788,0.7212392833731036,accepted,s3
oracle,0.0,long_00002_4077-237-2300,s1,coarse_to_fine,0,True,0.0,0.5654934215482856,0.9964851359363089,0.3849741820345404,accepted,s1
oracle,0.0,long_00002_4077-237-2300,s2,coarse_to_fine,0,True,0.0,0.5354936714875754,0.7865531746703933,0.4571845409924011,accepted,s2
oracle,0.0,long_00002_4077-237-2300,s3,coarse_to_fine,0,True,0.0,0.6469000782883882,0.8782663083765753,0.34228647350743224,accepted,s3
oracle,0.0,long_00002_4077-237-2300,s1,coarse_to_fine,1,True,0.0,0.5756180806160478,0.9964851359363089,0.3849741820345404,accepted,s1
oracle,0.0,long_00002_4077-237-2300,s2,coarse_to_fine,1,True,0.0,0.5696823740749593,0.7865531746703933,0.4571845409924011,accepted,s2
oracle,0.0,long_00002_4077-237-2300,s3,coarse_to_fine,1,True,0.0,0.703123608350047,0.8782663083765753,0.34228647350743224,accepted,s3
real,0.0,long_00002_4077-237-2300,s1,gated_deflation,0,True,8.556522991362703e-05,0.40160228508272544,1.0,0.7396932554849236,accepted,SPEAKER_01
real,0.0,long_00002_4077-237-2300,s2,gated_deflation,0,True,7.029985186404625e-05,0.3197650786618177,0.9931677890011223,0.8039547410575809,accepted,SPEAKER_00
real,0.0,long_00002_4077-237-2300,s3,gated_deflation,0,True,3.695892652213014e-05,0.5163471068882802,0.9857567443987197,0.7314147097926671,accepted,SPEAKER_02
real,0.0,long_00002_4077-237-2300,s1,coarse_to_fine,0,True,8.556522991362703e-05,0.4993680226401478,0.994845137535196,0.3770434180333016,accepted,SPEAKER_01
real,0.0,long_00002_4077-237-2300,s2,coarse_to_fine,0,True,7.029985186404625e-05,0.578983644576432,0.815540394195365,0.45055602436089376,accepted,SPEAKER_00
real,0.0,long_00002_4077-237-2300,s3,coarse_to_fine,0,True,3.695892652213014e-05,0.6300864337639916,0.9591315453384419,0.28563502836033605,accepted,SPEAKER_02
real,0.0,long_00002_4077-237-2300,s1,coarse_to_fine,1,True,8.556522991362703e-05,0.561384235335527,0.994845137535196,0.3770434180333016,accepted,SPEAKER_01
real,0.0,long_00002_4077-237-2300,s2,coarse_to_fine,1,True,7.029985186404625e-05,0.5984935419259585,0.815540394195365,0.45055602436089376,accepted,SPEAKER_00
real,0.0,long_00002_4077-237-2300,s3,coarse_to_fine,1,True,3.695892652213014e-05,0.7073706335292147,0.9591315453384419,0.28563502836033605,accepted,SPEAKER_02
oracle,0.0,long_00003_4507-7176-8455,s1,gated_deflation,0,True,0.0,0.5823682737476975,0.9737666578413203,0.7327171265959738,accepted,s1
oracle,0.0,long_00003_4507-7176-8455,s2,gated_deflation,0,True,0.0,0.33980347551708984,0.9831837887645202,0.7254686776762638,accepted,s2
oracle,0.0,long_00003_4507-7176-8455,s3,gated_deflation,0,True,0.0,0.658841572174892,0.9688741927471436,0.7371022983619271,accepted,s3
oracle,0.0,long_00003_4507-7176-8455,s1,coarse_to_fine,0,True,0.0,0.7010251346259975,0.7690112670255641,0.3696484994020606,accepted,s1
oracle,0.0,long_00003_4507-7176-8455,s2,coarse_to_fine,0,True,0.0,0.7074868663048995,0.9564836878180802,0.36537558625112687,accepted,s2
oracle,0.0,long_00003_4507-7176-8455,s3,coarse_to_fine,0,True,0.0,0.8825123220778723,0.8046836189766517,0.375496164356204,accepted,s3
oracle,0.0,long_00003_4507-7176-8455,s1,coarse_to_fine,1,True,0.0,0.7241638706988696,0.7690112670255641,0.3696484994020606,accepted,s1
oracle,0.0,long_00003_4507-7176-8455,s2,coarse_to_fine,1,True,0.0,0.7275748101539807,0.9564836878180802,0.36537558625112687,accepted,s2
oracle,0.0,long_00003_4507-7176-8455,s3,coarse_to_fine,1,True,0.0,0.9213625971301075,0.8046836189766517,0.375496164356204,accepted,s3
real,0.0,long_00003_4507-7176-8455,s1,gated_deflation,0,True,6.694671496102066e-05,0.5486591583462479,0.9108129801628254,0.7747906244144531,accepted,SPEAKER_01
real,0.0,long_00003_4507-7176-8455,s2,gated_deflation,0,True,0.00025416256497575953,0.3119489362576825,0.9400167084377611,0.7346636028214902,accepted,SPEAKER_02
real,0.0,long_00003_4507-7176-8455,s3,gated_deflation,0,True,3.4976217703335656e-05,0.6249081509334791,0.9931384015594542,0.7503491801974863,accepted,SPEAKER_00
real,0.0,long_00003_4507-7176-8455,s1,coarse_to_fine,0,True,6.694671496102066e-05,0.6362290300973263,0.7496199782844734,0.37795822989460715,accepted,SPEAKER_01
real,0.0,long_00003_4507-7176-8455,s2,coarse_to_fine,0,True,0.00025416256497575953,0.528454211259098,0.9398770512625108,0.3659721878529428,accepted,SPEAKER_02
real,0.0,long_00003_4507-7176-8455,s3,coarse_to_fine,0,True,3.4976217703335656e-05,0.7789249269287486,0.9797364672364672,0.36514898036357146,accepted,SPEAKER_00
real,0.0,long_00003_4507-7176-8455,s1,coarse_to_fine,1,True,6.694671496102066e-05,0.6977678258372689,0.7496199782844734,0.37795822989460715,accepted,SPEAKER_01
real,0.0,long_00003_4507-7176-8455,s2,coarse_to_fine,1,True,0.00025416256497575953,0.6620354090236491,0.9398770512625108,0.3659721878529428,accepted,SPEAKER_02
real,0.0,long_00003_4507-7176-8455,s3,coarse_to_fine,1,True,3.4976217703335656e-05,0.8691167028382528,0.9797364672364672,0.36514898036357146,accepted,SPEAKER_00
oracle,0.0,long_00004_5639-61-1089,s1,gated_deflation,0,True,0.0,0.2934614270882245,1.0,0.7487324319379761,accepted,s1
oracle,0.0,long_00004_5639-61-1089,s2,gated_deflation,0,True,0.0,0.3518428722314639,1.0,0.7564529501612256,accepted,s2
oracle,0.0,long_00004_5639-61-1089,s3,gated_deflation,0,True,0.0,0.2760995961699244,1.0,0.7426669466152054,accepted,s3
oracle,0.0,long_00004_5639-61-1089,s1,coarse_to_fine,0,True,0.0,0.6336044782143574,0.7816020129307472,0.3795149994478971,accepted,s1
oracle,0.0,long_00004_5639-61-1089,s2,coarse_to_fine,0,True,0.0,0.35810510422870867,1.0,0.38040226055430115,accepted,s2
oracle,0.0,long_00004_5639-61-1089,s3,coarse_to_fine,0,True,0.0,0.44613094910820494,0.8480973909767354,0.3765671065443698,accepted,s3
oracle,0.0,long_00004_5639-61-1089,s1,coarse_to_fine,1,True,0.0,0.6869269449065947,0.7816020129307472,0.3795149994478971,accepted,s1
oracle,0.0,long_00004_5639-61-1089,s2,coarse_to_fine,1,True,0.0,0.4000696924629009,1.0,0.38040226055430115,accepted,s2
oracle,0.0,long_00004_5639-61-1089,s3,coarse_to_fine,1,True,0.0,0.4318419349704473,0.8480973909767354,0.3765671065443698,accepted,s3
real,0.0,long_00004_5639-61-1089,s1,gated_deflation,0,True,0.0,0.4147612571272689,1.0,0.7858940937593714,accepted,SPEAKER_00
real,0.0,long_00004_5639-61-1089,s2,gated_deflation,0,True,5.639920551064065e-05,0.3556904175340298,0.9997478619373743,0.7712887996443271,accepted,SPEAKER_02
real,0.0,long_00004_5639-61-1089,s3,gated_deflation,0,True,4.7605091891082406e-05,0.24819759275827613,1.0,0.7581284217146456,accepted,SPEAKER_01
real,0.0,long_00004_5639-61-1089,s1,coarse_to_fine,0,True,0.0,0.4797263605947539,0.8036017669045192,0.36341713630494477,accepted,SPEAKER_00
real,0.0,long_00004_5639-61-1089,s2,coarse_to_fine,0,True,5.639920551064065e-05,0.4145554831892999,1.0,0.3765392529330931,accepted,SPEAKER_02
real,0.0,long_00004_5639-61-1089,s3,coarse_to_fine,0,True,4.7605091891082406e-05,0.4162652223240384,0.9573068275943676,0.34503614114745157,accepted,SPEAKER_01
real,0.0,long_00004_5639-61-1089,s1,coarse_to_fine,1,True,0.0,0.6670838255643758,0.8036017669045192,0.36341713630494477,accepted,SPEAKER_00
real,0.0,long_00004_5639-61-1089,s2,coarse_to_fine,1,True,5.639920551064065e-05,0.4679015097871696,1.0,0.3765392529330931,accepted,SPEAKER_02
real,0.0,long_00004_5639-61-1089,s3,coarse_to_fine,1,True,4.7605091891082406e-05,0.46112139641593686,0.9573068275943676,0.34503614114745157,accepted,SPEAKER_01
oracle,0.0,long_00005_3570-908-4507,s1,gated_deflation,0,True,0.0,0.4306679220857393,1.0,0.74940620607813,accepted,s1
oracle,0.0,long_00005_3570-908-4507,s2,gated_deflation,0,True,0.0,0.4207984093422154,0.9430300581149212,0.7232827936068161,accepted,s2
oracle,0.0,long_00005_3570-908-4507,s3,gated_deflation,0,True,0.0,0.3544989515898017,0.9169197762992961,0.7244761840642989,accepted,s3
oracle,0.0,long_00005_3570-908-4507,s1,coarse_to_fine,0,True,0.0,0.5434753274943552,0.9839160839160839,0.35350319894410026,accepted,s1
oracle,0.0,long_00005_3570-908-4507,s2,coarse_to_fine,0,True,0.0,0.5164103799442893,0.8288135184649503,0.35473761036769724,accepted,s2
oracle,0.0,long_00005_3570-908-4507,s3,coarse_to_fine,0,True,0.0,0.5115673806894696,0.7075559251759714,0.37910193675019277,accepted,s3
oracle,0.0,long_00005_3570-908-4507,s1,coarse_to_fine,1,True,0.0,0.6175938227616347,0.9839160839160839,0.35350319894410026,accepted,s1
oracle,0.0,long_00005_3570-908-4507,s2,coarse_to_fine,1,True,0.0,0.5608605721547024,0.8288135184649503,0.35473761036769724,accepted,s2
oracle,0.0,long_00005_3570-908-4507,s3,coarse_to_fine,1,True,0.0,0.5652497630278901,0.7075559251759714,0.37910193675019277,accepted,s3
real,0.0,long_00005_3570-908-4507,s1,gated_deflation,0,True,0.00013360482567984695,0.353604429863945,0.9932902670111973,0.7503732953930918,accepted,SPEAKER_01
real,0.0,long_00005_3570-908-4507,s3,gated_deflation,0,True,4.504900729494259e-05,0.3865523981808323,0.965229156096736,0.6909835340297904,accepted,SPEAKER_02
real,0.0,long_00005_3570-908-4507,s2,gated_deflation,0,True,4.33377828783621e-05,0.4150672756746115,0.9806405107609927,0.815354939355139,accepted,SPEAKER_00
real,0.0,long_00005_3570-908-4507,s1,coarse_to_fine,0,True,0.00013360482567984695,0.4142477767809463,1.0,0.3214739756052792,accepted,SPEAKER_01
real,0.0,long_00005_3570-908-4507,s3,coarse_to_fine,0,True,4.504900729494259e-05,0.49228391451060766,0.9193531559728743,0.30985922200334154,accepted,SPEAKER_02
real,0.0,long_00005_3570-908-4507,s2,coarse_to_fine,0,True,4.33377828783621e-05,0.49332727714180796,0.8778560250391236,0.3112756629897634,accepted,SPEAKER_00
real,0.0,long_00005_3570-908-4507,s1,coarse_to_fine,1,True,0.00013360482567984695,0.6082141376241499,1.0,0.3214739756052792,accepted,SPEAKER_01
real,0.0,long_00005_3570-908-4507,s3,coarse_to_fine,1,True,4.504900729494259e-05,0.6201648062540832,0.9193531559728743,0.30985922200334154,accepted,SPEAKER_02
real,0.0,long_00005_3570-908-4507,s2,coarse_to_fine,1,True,4.33377828783621e-05,0.6415385725179876,0.8778560250391236,0.3112756629897634,accepted,SPEAKER_00
oracle,0.0,long_00006_1089-8230-7176,s1,gated_deflation,0,True,0.0,0.23248686777697036,1.0,0.7323981130740451,accepted,s1
oracle,0.0,long_00006_1089-8230-7176,s2,gated_deflation,0,True,0.0,0.1929898780499385,0.9207357833535429,0.7198920423009352,accepted,s2
oracle,0.0,long_00006_1089-8230-7176,s3,gated_deflation,0,True,0.0,0.25847963761924164,0.9800332502078138,0.716811247238101,accepted,s3
oracle,0.0,long_00006_1089-8230-7176,s1,coarse_to_fine,0,True,0.0,0.36806009137278184,1.0,0.4241080885591315,accepted,s1
oracle,0.0,long_00006_1089-8230-7176,s2,coarse_to_fine,0,True,0.0,0.27361947977121226,0.7715468161513532,0.3483655042003672,accepted,s2
oracle,0.0,long_00006_1089-8230-7176,s3,coarse_to_fine,0,True,0.0,0.49399365429847375,0.8578886118038238,0.30970102847718833,accepted,s3
oracle,0.0,long_00006_1089-8230-7176,s1,coarse_to_fine,1,True,0.0,0.3606172132292046,1.0,0.4241080885591315,accepted,s1
oracle,0.0,long_00006_1089-8230-7176,s2,coarse_to_fine,1,True,0.0,0.33191931729325874,0.7715468161513532,0.3483655042003672,accepted,s2
oracle,0.0,long_00006_1089-8230-7176,s3,coarse_to_fine,1,True,0.0,0.5216693032187021,0.8578886118038238,0.30970102847718833,accepted,s3
real,0.0,long_00006_1089-8230-7176,s1,gated_deflation,0,True,0.00016908858174213685,0.22630670230957894,0.9999222319432293,0.7310595844181027,accepted,SPEAKER_02
real,0.0,long_00006_1089-8230-7176,s2,gated_deflation,0,False,8.27090177785913e-05,0.00046321100964707984,0.965198975571316,0.7492090130380304,margin,SPEAKER_01
real,0.0,long_00006_1089-8230-7176,s3,gated_deflation,0,True,4.883735485341198e-05,0.2970668828309797,0.9986559139784946,0.7318255858288432,accepted,SPEAKER_00
real,0.0,long_00006_1089-8230-7176,s1,coarse_to_fine,0,True,0.00016908858174213685,0.29072607907276116,1.0,0.42358141080712836,accepted,SPEAKER_02
real,0.0,long_00006_1089-8230-7176,s2,coarse_to_fine,0,True,8.27090177785913e-05,0.10279891814345066,0.9091737891737892,0.30264715577655515,accepted,SPEAKER_01
real,0.0,long_00006_1089-8230-7176,s3,coarse_to_fine,0,True,4.883735485341198e-05,0.49076534441721736,0.8844281644281644,0.3034238895503195,accepted,SPEAKER_00
real,0.0,long_00006_1089-8230-7176,s1,coarse_to_fine,1,True,0.00016908858174213685,0.41565530457221567,1.0,0.42358141080712836,accepted,SPEAKER_02
real,0.0,long_00006_1089-8230-7176,s2,coarse_to_fine,1,True,8.27090177785913e-05,0.32615063144955214,0.9091737891737892,0.30264715577655515,accepted,SPEAKER_01
real,0.0,long_00006_1089-8230-7176,s3,coarse_to_fine,1,True,4.883735485341198e-05,0.553630922063473,0.8844281644281644,0.3034238895503195,accepted,SPEAKER_00
oracle,0.0,long_00007_1188-4077-121,s1,gated_deflation,0,True,0.0,0.4439814182657448,1.0,0.7031853244949383,accepted,s1
oracle,0.0,long_00007_1188-4077-121,s2,gated_deflation,0,True,0.0,0.5488485163668619,0.9910547133426235,0.7324889391658529,accepted,s2
oracle,0.0,long_00007_1188-4077-121,s3,gated_deflation,0,True,0.0,0.26090783846725735,0.9915588642095843,0.8089985510750034,accepted,s3
oracle,0.0,long_00007_1188-4077-121,s1,coarse_to_fine,0,True,0.0,0.7373386248618258,0.9887693883523558,0.2999071055058226,accepted,s1
oracle,0.0,long_00007_1188-4077-121,s2,coarse_to_fine,0,True,0.0,0.7643013872267146,0.9922029669405799,0.4021771551926211,accepted,s2
oracle,0.0,long_00007_1188-4077-121,s3,coarse_to_fine,0,True,0.0,0.3840172244692838,0.6541575136278578,0.49876736096965607,accepted,s3
oracle,0.0,long_00007_1188-4077-121,s1,coarse_to_fine,1,True,0.0,0.6923949124132813,0.9887693883523558,0.2999071055058226,accepted,s1
oracle,0.0,long_00007_1188-4077-121,s2,coarse_to_fine,1,True,0.0,0.6702407224391111,0.9922029669405799,0.4021771551926211,accepted,s2
oracle,0.0,long_00007_1188-4077-121,s3,coarse_to_fine,1,True,0.0,0.5644919888258486,0.6541575136278578,0.49876736096965607,accepted,s3
real,0.0,long_00007_1188-4077-121,s1,gated_deflation,0,True,5.3082867441405494e-05,0.46028592409783414,0.9998362471704474,0.752140937744766,accepted,SPEAKER_00
real,0.0,long_00007_1188-4077-121,s2,gated_deflation,0,True,9.96561576956757e-05,0.49567776423046844,0.9975579975579976,0.7303887794364458,accepted,SPEAKER_01
real,0.0,long_00007_1188-4077-121,s3,gated_deflation,0,True,7.227986956850508e-05,0.4243588182772987,0.9959182098765432,0.8191232578554329,accepted,SPEAKER_02
real,0.0,long_00007_1188-4077-121,s1,coarse_to_fine,0,True,5.3082867441405494e-05,0.6895531564004155,1.0,0.3240455703090602,accepted,SPEAKER_00
real,0.0,long_00007_1188-4077-121,s2,coarse_to_fine,0,True,9.96561576956757e-05,0.6899762090164332,1.0,0.40284942407666424,accepted,SPEAKER_01
real,0.0,long_00007_1188-4077-121,s3,coarse_to_fine,0,True,7.227986956850508e-05,0.43114326268809977,0.7147092961907777,0.4711910137528301,accepted,SPEAKER_02
real,0.0,long_00007_1188-4077-121,s1,coarse_to_fine,1,True,5.3082867441405494e-05,0.7148790886316987,1.0,0.3240455703090602,accepted,SPEAKER_00
real,0.0,long_00007_1188-4077-121,s2,coarse_to_fine,1,True,9.96561576956757e-05,0.6545704482524233,1.0,0.40284942407666424,accepted,SPEAKER_01
real,0.0,long_00007_1188-4077-121,s3,coarse_to_fine,1,True,7.227986956850508e-05,0.577349762859712,0.7147092961907777,0.4711910137528301,accepted,SPEAKER_02
oracle,0.0,long_00008_672-5639-121,s1,gated_deflation,0,True,0.0,0.37568013202329736,0.9971727210418094,0.7668595377179991,accepted,s1
oracle,0.0,long_00008_672-5639-121,s2,gated_deflation,0,True,0.0,0.1292182155861175,0.9720990391722099,0.7639372259738535,accepted,s2
oracle,0.0,long_00008_672-5639-121,s3,gated_deflation,0,True,0.0,0.39130020100528096,0.9448307279179055,0.7842302835365121,accepted,s3
oracle,0.0,long_00008_672-5639-121,s1,coarse_to_fine,0,True,0.0,0.569727851489982,0.9387137308658898,0.4616952335489845,accepted,s1
oracle,0.0,long_00008_672-5639-121,s2,coarse_to_fine,0,True,0.0,0.6119083538203438,0.8099083276216587,0.39446958264573156,accepted,s2
oracle,0.0,long_00008_672-5639-121,s3,coarse_to_fine,0,True,0.0,0.6045260994012636,0.8087017678462964,0.5177685954790356,accepted,s3
