diarization,dilate_ms,scene,speaker,system,round,accepted,mean_variance,margin,vad_coverage,artifact_score,reason,cluster
oracle,0.0,long_00000_5639-61-121,s1,gated_deflation,0,True,0.0,0.2919283970144312,1.0,0.7462035830805632,accepted,s1
oracle,0.0,long_00000_5639-61-121,s2,gated_deflation,0,True,0.0,0.4672379453662754,1.0,0.7597428275678949,accepted,s2
oracle,0.0,long_00000_5639-61-121,s3,gated_deflation,0,True,0.0,0.1646956259458311,1.0,0.8037475457688067,accepted,s3
oracle,0.0,long_00000_5639-61-121,s1,coarse_to_fine,0,False,0.0,-0.49612440088834536,1.0,0.3664221965864735,margin,s1
oracle,0.0,long_00000_5639-61-121,s2,coarse_to_fine,0,True,0.0,0.5078940477730431,1.0,0.504936085526795,accepted,s2
oracle,0.0,long_00000_5639-61-121,s3,coarse_to_fine,0,False,0.0,-0.34787944965925355,1.0,0.48505303899644914,margin,s3
oracle,0.0,long_00000_5639-61-121,s1,coarse_to_fine,1,False,0.0,-0.5262034406806628,1.0,0.3664221965864735,margin,s1
oracle,0.0,long_00000_5639-61-121,s2,coarse_to_fine,1,True,0.0,0.6307574534607561,1.0,0.5131630576865105,accepted,s2
oracle,0.0,long_00000_5639-61-121,s3,coarse_to_fine,1,False,0.0,-0.47115031748307723,1.0,0.48505303899644914,margin,s3
oracle,200.0,long_00000_5639-61-121,s1,gated_deflation,0,True,0.0,0.2933170270459041,1.0,0.7460862847489405,accepted,s1
oracle,200.0,long_00000_5639-61-121,s2,gated_deflation,0,True,0.0,0.469151924778127,1.0,0.7599767783631031,accepted,s2
oracle,200.0,long_00000_5639-61-121,s3,gated_deflation,0,True,0.0,0.163671518251424,0.9883035142796184,0.8035400959745788,accepted,s3
oracle,200.0,long_00000_5639-61-121,s1,coarse_to_fine,0,False,0.0,-0.49442704285535877,1.0,0.36385883423332965,margin,s1
oracle,200.0,long_00000_5639-61-121,s2,coarse_to_fine,0,True,0.0,0.5121938084879603,1.0,0.5062668704373848,accepted,s2
oracle,200.0,long_00000_5639-61-121,s3,coarse_to_fine,0,False,0.0,-0.3476630872334199,0.9882958944192143,0.4874233838029977,margin,s3
oracle,200.0,long_00000_5639-61-121,s1,coarse_to_fine,1,False,0.0,-0.5220865681705285,1.0,0.36385883423332965,margin,s1
oracle,200.0,long_00000_5639-61-121,s2,coarse_to_fine,1,True,0.0,0.6330121192130453,1.0,0.5145869262727372,accepted,s2
oracle,200.0,long_00000_5639-61-121,s3,coarse_to_fine,1,False,0.0,-0.4673383265742632,0.9882958944192143,0.4874233838029977,margin,s3
oracle,400.0,long_00000_5639-61-121,s1,gated_deflation,0,True,0.0,0.2919068189348646,1.0,0.7460876458966643,accepted,s1
oracle,400.0,long_00000_5639-61-121,s2,gated_deflation,0,True,0.0,0.467501691105508,1.0,0.7594399512195483,accepted,s2
oracle,400.0,long_00000_5639-61-121,s3,gated_deflation,0,True,0.0,0.18972388065884477,0.9799602517389864,0.8037611797649504,accepted,s3
oracle,400.0,long_00000_5639-61-121,s1,coarse_to_fine,0,False,0.0,-0.47227371647083405,1.0,0.3628082900941621,margin,s1
oracle,400.0,long_00000_5639-61-121,s2,coarse_to_fine,0,True,0.0,0.509969887977349,1.0,0.5042524484774787,accepted,s2
oracle,400.0,long_00000_5639-61-121,s3,coarse_to_fine,0,False,0.0,-0.2937585724729288,0.9805700261977175,0.49477775577346184,margin,s3
oracle,400.0,long_00000_5639-61-121,s1,coarse_to_fine,1,False,0.0,-0.5037674231112281,1.0,0.3628082900941621,margin,s1
oracle,400.0,long_00000_5639-61-121,s2,coarse_to_fine,1,True,0.0,0.6343190099590674,1.0,0.5128047740098469,accepted,s2
oracle,400.0,long_00000_5639-61-121,s3,coarse_to_fine,1,False,0.0,-0.41507723127628693,0.9805700261977175,0.49477775577346184,margin,s3
oracle,800.0,long_00000_5639-61-121,s1,gated_deflation,0,True,0.0,0.29692205581562525,1.0,0.745912851610018,accepted,s1
oracle,800.0,long_00000_5639-61-121,s2,gated_deflation,0,True,0.0,0.46646906781420505,0.9999851208189501,0.7585014252618056,accepted,s2
oracle,800.0,long_00000_5639-61-121,s3,gated_deflation,0,True,0.0,0.19733752274078548,0.9804022464641713,0.8037913341348709,accepted,s3
oracle,800.0,long_00000_5639-61-121,s1,coarse_to_fine,0,False,0.0,-0.45653272038514797,1.0,0.35959605797251465,margin,s1
oracle,800.0,long_00000_5639-61-121,s2,coarse_to_fine,0,True,0.0,0.5100126187824447,1.0,0.49588145286610724,accepted,s2
oracle,800.0,long_00000_5639-61-121,s3,coarse_to_fine,0,False,0.0,-0.2773997927598865,0.9810197300714517,0.4919839966491098,margin,s3
oracle,800.0,long_00000_5639-61-121,s1,coarse_to_fine,1,False,0.0,-0.4864198749402812,1.0,0.35959605797251465,margin,s1
oracle,800.0,long_00000_5639-61-121,s2,coarse_to_fine,1,True,0.0,0.628227170405294,1.0,0.507349476892328,accepted,s2
oracle,800.0,long_00000_5639-61-121,s3,coarse_to_fine,1,False,0.0,-0.39823759129410335,0.9810197300714517,0.4919839966491098,margin,s3
real,0.0,long_00000_5639-61-121,s1,gated_deflation,0,True,6.615377652459825e-05,0.2838246028300901,1.0,0.7683940383290094,accepted,SPEAKER_01
real,0.0,long_00000_5639-61-121,s2,gated_deflation,0,True,7.586842872326045e-05,0.5310369152183875,1.0,0.7737390769184821,accepted,SPEAKER_02
real,0.0,long_00000_5639-61-121,s3,gated_deflation,0,True,0.00014396216734769535,0.20779196364555597,1.0,0.8229255423672318,accepted,SPEAKER_00
real,0.0,long_00000_5639-61-121,s1,coarse_to_fine,0,False,6.615377652459825e-05,-0.4068781529929832,1.0,0.3347502113419215,margin,SPEAKER_01
real,0.0,long_00000_5639-61-121,s2,coarse_to_fine,0,True,7.586842872326045e-05,0.5469271218305791,1.0,0.4341705646202773,accepted,SPEAKER_02
real,0.0,long_00000_5639-61-121,s3,coarse_to_fine,0,False,0.00014396216734769535,-0.4124411240994722,1.0,0.4643061256168803,margin,SPEAKER_00
real,0.0,long_00000_5639-61-121,s1,coarse_to_fine,1,False,6.615377652459825e-05,-0.5116907167008116,1.0,0.3347502113419215,margin,SPEAKER_01
real,0.0,long_00000_5639-61-121,s2,coarse_to_fine,1,True,7.586842872326045e-05,0.7126619965120995,1.0,0.44006775434180656,accepted,SPEAKER_02
real,0.0,long_00000_5639-61-121,s3,coarse_to_fine,1,False,0.00014396216734769535,-0.41471564295083996,1.0,0.4643061256168803,margin,SPEAKER_00
real,200.0,long_00000_5639-61-121,s1,gated_deflation,0,True,6.835363559819082e-05,0.2798695698431967,1.0,0.7685098039368042,accepted,SPEAKER_01
real,200.0,long_00000_5639-61-121,s2,gated_deflation,0,True,7.887475336504035e-05,0.5312451270027623,1.0,0.7739024451826851,accepted,SPEAKER_02
real,200.0,long_00000_5639-61-121,s3,gated_deflation,0,True,0.00014085120077051845,0.20478526063104108,0.9996267661956811,0.8227620321056567,accepted,SPEAKER_00
real,200.0,long_00000_5639-61-121,s1,coarse_to_fine,0,False,6.835363559819082e-05,-0.4086626530622499,1.0,0.33634676656439494,margin,SPEAKER_01
real,200.0,long_00000_5639-61-121,s2,coarse_to_fine,0,True,7.887475336504035e-05,0.5189576068718562,1.0,0.5105603204175256,accepted,SPEAKER_02
real,200.0,long_00000_5639-61-121,s3,coarse_to_fine,0,False,0.00014085120077051845,-0.36771902902604925,1.0,0.45958075733436493,margin,SPEAKER_00
real,200.0,long_00000_5639-61-121,s1,coarse_to_fine,1,False,6.835363559819082e-05,-0.45080788726917176,1.0,0.33634676656439494,margin,SPEAKER_01
real,200.0,long_00000_5639-61-121,s2,coarse_to_fine,1,True,7.887475336504035e-05,0.6579454761328007,1.0,0.5131366208062579,accepted,SPEAKER_02
real,200.0,long_00000_5639-61-121,s3,coarse_to_fine,1,False,0.00014085120077051845,-0.45425668930077256,1.0,0.45958075733436493,margin,SPEAKER_00
real,400.0,long_00000_5639-61-121,s1,gated_deflation,0,True,7.106399380395537e-05,0.2735749014156581,1.0,0.7682448032613279,accepted,SPEAKER_01
real,400.0,long_00000_5639-61-121,s2,gated_deflation,0,True,7.806809654918973e-05,0.530646118564938,1.0,0.7737374183244999,accepted,SPEAKER_02
real,400.0,long_00000_5639-61-121,s3,gated_deflation,0,True,0.00014212825623129494,0.19966611397263728,0.9997233150317756,0.8228098019427843,accepted,SPEAKER_00
real,400.0,long_00000_5639-61-121,s1,coarse_to_fine,0,False,7.106399380395537e-05,-0.41279935449711375,1.0,0.3352182866560775,margin,SPEAKER_01
real,400.0,long_00000_5639-61-121,s2,coarse_to_fine,0,True,7.806809654918973e-05,0.5257567261117397,1.0,0.5095455085225372,accepted,SPEAKER_02
real,400.0,long_00000_5639-61-121,s3,coarse_to_fine,0,False,0.00014212825623129494,-0.22876637142170003,1.0,0.4532027497388859,margin,SPEAKER_00
real,400.0,long_00000_5639-61-121,s1,coarse_to_fine,1,False,7.106399380395537e-05,-0.450902455233305,1.0,0.3352182866560775,margin,SPEAKER_01
real,400.0,long_00000_5639-61-121,s2,coarse_to_fine,1,True,7.806809654918973e-05,0.6617701187957801,1.0,0.5128800389290428,accepted,SPEAKER_02
real,400.0,long_00000_5639-61-121,s3,coarse_to_fine,1,False,0.00014212825623129494,-0.32115168341070216,1.0,0.4532027497388859,margin,SPEAKER_00
real,800.0,long_00000_5639-61-121,s1,gated_deflation,0,True,7.445368926541384e-05,0.2684138691621913,1.0,0.7675598641578749,accepted,SPEAKER_01
real,800.0,long_00000_5639-61-121,s2,gated_deflation,0,True,7.768243824088772e-05,0.5376955066821922,1.0,0.7741586312293455,accepted,SPEAKER_02
real,800.0,long_00000_5639-61-121,s3,gated_deflation,0,True,0.00014535731059843587,0.19385276856407108,0.9768962180808548,0.8227745891251322,accepted,SPEAKER_00
real,800.0,long_00000_5639-61-121,s1,coarse_to_fine,0,False,7.445368926541384e-05,-0.414863894681869,1.0,0.33142962501694867,margin,SPEAKER_01
real,800.0,long_00000_5639-61-121,s2,coarse_to_fine,0,True,7.768243824088772e-05,0.527221878794423,1.0,0.5134422324505821,accepted,SPEAKER_02
real,800.0,long_00000_5639-61-121,s3,coarse_to_fine,0,False,0.00014535731059843587,-0.34204260025874744,0.9157446808510639,0.49042207417603567,margin,SPEAKER_00
real,800.0,long_00000_5639-61-121,s1,coarse_to_fine,1,False,7.445368926541384e-05,-0.44935409860330733,1.0,0.33142962501694867,margin,SPEAKER_01
real,800.0,long_00000_5639-61-121,s2,coarse_to_fine,1,True,7.768243824088772e-05,0.6632673239404987,1.0,0.5154044869460885,accepted,SPEAKER_02
real,800.0,long_00000_5639-61-121,s3,coarse_to_fine,1,False,0.00014535731059843587,-0.42482179777390305,0.9157446808510639,0.49042207417603567,margin,SPEAKER_00
oracle,0.0,long_00001_3729-2300-8230,s1,gated_deflation,0,True,0.0,0.6294714688352175,0.9976456876456876,0.7729448051193253,accepted,s1
oracle,0.0,long_00001_3729-2300-8230,s2,gated_deflation,0,True,0.0,0.40392964797574377,0.98393164717614,0.7065526399266921,accepted,s2
oracle,0.0,long_00001_3729-2300-8230,s3,gated_deflation,0,True,0.0,0.502982758669255,0.9798888594866367,0.6967578921568345,accepted,s3
oracle,0.0,long_00001_3729-2300-8230,s1,coarse_to_fine,0,True,0.0,0.17811335959719532,1.0,0.413943379311489,accepted,s1
oracle,0.0,long_00001_3729-2300-8230,s2,coarse_to_fine,0,True,0.0,0.2630656662968549,0.974640557466702,0.20718571993388082,accepted,s2
oracle,0.0,long_00001_3729-2300-8230,s3,coarse_to_fine,0,False,0.0,-0.22490156278360773,0.9840051747963894,0.3108471080525686,margin,s3
oracle,0.0,long_00001_3729-2300-8230,s1,coarse_to_fine,1,True,0.0,0.27789786845964526,1.0,0.41176243113295397,accepted,s1
oracle,0.0,long_00001_3729-2300-8230,s2,coarse_to_fine,1,True,0.0,0.39576383089014244,0.9745670518361707,0.18636978055119627,accepted,s2
oracle,0.0,long_00001_3729-2300-8230,s3,coarse_to_fine,1,False,0.0,-0.344086291989783,0.9840051747963894,0.3108471080525686,margin,s3
oracle,200.0,long_00001_3729-2300-8230,s1,gated_deflation,0,True,0.0,0.6254053027039783,0.9853952417498081,0.7729614528231428,accepted,s1
oracle,200.0,long_00001_3729-2300-8230,s2,gated_deflation,0,True,0.0,0.4016421359872178,0.9822761472546502,0.7075498448376856,accepted,s2
oracle,200.0,long_00001_3729-2300-8230,s3,gated_deflation,0,True,0.0,0.5082486124811691,0.9745139635581646,0.6965914948930427,accepted,s3
oracle,200.0,long_00001_3729-2300-8230,s1,coarse_to_fine,0,True,0.0,0.18574417487827954,0.9853952417498081,0.41824731898617035,accepted,s1
oracle,200.0,long_00001_3729-2300-8230,s2,coarse_to_fine,0,True,0.0,0.25858337109148144,0.9749789311557351,0.21139729917895644,accepted,s2
oracle,200.0,long_00001_3729-2300-8230,s3,coarse_to_fine,0,False,0.0,-0.20207144636625263,0.9803696492400685,0.3087935689626336,margin,s3
oracle,200.0,long_00001_3729-2300-8230,s1,coarse_to_fine,1,True,0.0,0.2793016612174455,0.9853952417498081,0.41650596462765427,accepted,s1
oracle,200.0,long_00001_3729-2300-8230,s2,coarse_to_fine,1,True,0.0,0.3963084966649745,0.9748772194937665,0.19023505011177558,accepted,s2
oracle,200.0,long_00001_3729-2300-8230,s3,coarse_to_fine,1,False,0.0,-0.33190568767948403,0.9803696492400685,0.3087935689626336,margin,s3
oracle,400.0,long_00001_3729-2300-8230,s1,gated_deflation,0,True,0.0,0.6343984354698676,0.9785443517816528,0.7729167748944107,accepted,s1
oracle,400.0,long_00001_3729-2300-8230,s2,gated_deflation,0,True,0.0,0.4108449557437396,0.974426872805594,0.7054790077986838,accepted,s2
oracle,400.0,long_00001_3729-2300-8230,s3,gated_deflation,0,True,0.0,0.4945319797524444,0.96823561517911,0.6967684054771605,accepted,s3
oracle,400.0,long_00001_3729-2300-8230,s1,coarse_to_fine,0,True,0.0,0.18418138051035043,0.9794541319181198,0.42022234358891164,accepted,s1
oracle,400.0,long_00001_3729-2300-8230,s2,coarse_to_fine,0,True,0.0,0.27591729299605794,0.9642498060957744,0.20778286293821602,accepted,s2
oracle,400.0,long_00001_3729-2300-8230,s3,coarse_to_fine,0,False,0.0,-0.22046293061901345,0.9801140444112493,0.31306081620553833,margin,s3
oracle,400.0,long_00001_3729-2300-8230,s1,coarse_to_fine,1,True,0.0,0.2806410608910469,0.9791357088703563,0.41576917534485364,accepted,s1
oracle,400.0,long_00001_3729-2300-8230,s2,coarse_to_fine,1,True,0.0,0.3987528572692661,0.9642282611818104,0.1882845540447757,accepted,s2
oracle,400.0,long_00001_3729-2300-8230,s3,coarse_to_fine,1,False,0.0,-0.3328614192232672,0.9801140444112493,0.31306081620553833,margin,s3
oracle,800.0,long_00001_3729-2300-8230,s1,gated_deflation,0,True,0.0,0.6303286578423126,0.9748260547742413,0.7728260081931524,accepted,s1
oracle,800.0,long_00001_3729-2300-8230,s2,gated_deflation,0,True,0.0,0.3980088949107947,0.9740473582567089,0.7065389637646846,accepted,s2
oracle,800.0,long_00001_3729-2300-8230,s3,gated_deflation,0,True,0.0,0.5076557872665688,0.968794754429811,0.6966894342221135,accepted,s3
oracle,800.0,long_00001_3729-2300-8230,s1,coarse_to_fine,0,True,0.0,0.24614884329557274,0.9748260547742413,0.41801643511958736,accepted,s1
oracle,800.0,long_00001_3729-2300-8230,s2,coarse_to_fine,0,True,0.0,0.27278647447096316,0.9624835022886187,0.21305772503288403,accepted,s2
oracle,800.0,long_00001_3729-2300-8230,s3,coarse_to_fine,0,False,0.0,-0.1656485380102618,0.9805888629917722,0.30790784044872405,margin,s3
oracle,800.0,long_00001_3729-2300-8230,s1,coarse_to_fine,1,True,0.0,0.3433847005686806,0.9742264988897114,0.4108299548174805,accepted,s1
oracle,800.0,long_00001_3729-2300-8230,s2,coarse_to_fine,1,True,0.0,0.4011523623809127,0.9630802280194322,0.1940168444327373,accepted,s2
oracle,800.0,long_00001_3729-2300-8230,s3,coarse_to_fine,1,False,0.0,-0.29462159161949286,0.9805888629917722,0.30790784044872405,margin,s3
real,0.0,long_00001_3729-2300-8230,s1,gated_deflation,0,True,6.971299810599987e-05,0.5534367030162848,0.9986623953240038,0.7963464252755318,accepted,SPEAKER_02
real,0.0,long_00001_3729-2300-8230,s2,gated_deflation,0,True,5.354640335792748e-05,0.5021349728904962,0.9893059952761445,0.7189317089340304,accepted,SPEAKER_00
real,0.0,long_00001_3729-2300-8230,s3,gated_deflation,0,True,8.950516368376608e-05,0.45201219503249235,0.9853124289934105,0.7013783769995351,accepted,SPEAKER_01
real,0.0,long_00001_3729-2300-8230,s1,coarse_to_fine,0,True,6.971299810599987e-05,0.38085636870424816,1.0,0.37598778916559433,accepted,SPEAKER_02
real,0.0,long_00001_3729-2300-8230,s2,coarse_to_fine,0,True,5.354640335792748e-05,0.3619280108555991,0.9914594481166719,0.19810344996310436,accepted,SPEAKER_00
real,0.0,long_00001_3729-2300-8230,s3,coarse_to_fine,0,False,8.950516368376608e-05,-0.3553590300856855,0.9820375616409611,0.23101336028382866,margin,SPEAKER_01
real,0.0,long_00001_3729-2300-8230,s1,coarse_to_fine,1,True,6.971299810599987e-05,0.618755128980741,1.0,0.3875110813241318,accepted,SPEAKER_02
real,0.0,long_00001_3729-2300-8230,s2,coarse_to_fine,1,True,5.354640335792748e-05,0.5299572637184728,0.991375511488826,0.16995914370625292,accepted,SPEAKER_00
real,0.0,long_00001_3729-2300-8230,s3,coarse_to_fine,1,False,8.950516368376608e-05,-0.5304700103517476,0.9820375616409611,0.23101336028382866,margin,SPEAKER_01
real,200.0,long_00001_3729-2300-8230,s1,gated_deflation,0,True,6.999157548233158e-05,0.6315149240995511,0.9979150377899401,0.7964699230414282,accepted,SPEAKER_02
real,200.0,long_00001_3729-2300-8230,s2,gated_deflation,0,True,7.31644460852962e-05,0.49268561685754075,0.9937660278826875,0.7237999362319745,accepted,SPEAKER_00
real,200.0,long_00001_3729-2300-8230,s3,gated_deflation,0,True,0.00010074303041026686,0.4521485981883075,0.9593602201393069,0.700247599384888,accepted,SPEAKER_01
real,200.0,long_00001_3729-2300-8230,s1,coarse_to_fine,0,True,6.999157548233158e-05,0.4591050137084631,1.0,0.3743233321658905,accepted,SPEAKER_02
real,200.0,long_00001_3729-2300-8230,s2,coarse_to_fine,0,True,7.31644460852962e-05,0.3486322377913079,0.9915224005875564,0.20446118093464338,accepted,SPEAKER_00
real,200.0,long_00001_3729-2300-8230,s3,coarse_to_fine,0,False,0.00010074303041026686,-0.3279358653390714,0.982774555107659,0.21624062770763017,margin,SPEAKER_01
real,200.0,long_00001_3729-2300-8230,s1,coarse_to_fine,1,True,6.999157548233158e-05,0.6486329993299631,1.0,0.38382037586595075,accepted,SPEAKER_02
real,200.0,long_00001_3729-2300-8230,s2,coarse_to_fine,1,True,7.31644460852962e-05,0.529856988686141,0.991375511488826,0.17632821532979126,accepted,SPEAKER_00
real,200.0,long_00001_3729-2300-8230,s3,coarse_to_fine,1,False,0.00010074303041026686,-0.51516175922678,0.982774555107659,0.21624062770763017,margin,SPEAKER_01
real,400.0,long_00001_3729-2300-8230,s1,gated_deflation,0,True,7.25455633439458e-05,0.5926579241658463,0.9980342516753536,0.79300986901711,accepted,SPEAKER_02
real,400.0,long_00001_3729-2300-8230,s2,gated_deflation,0,True,8.761295637464476e-05,0.36848139554188025,0.9904180991460575,0.7235751450617871,accepted,SPEAKER_00
real,400.0,long_00001_3729-2300-8230,s3,gated_deflation,0,True,0.0,0.533035638602922,0.9950047319260996,0.714770869488167,accepted,SPEAKER_01
real,400.0,long_00001_3729-2300-8230,s1,coarse_to_fine,0,True,7.25455633439458e-05,0.4366858530266025,1.0,0.3719374732403617,accepted,SPEAKER_02
real,400.0,long_00001_3729-2300-8230,s2,coarse_to_fine,0,True,8.761295637464476e-05,0.5126542707074182,1.0,0.24323556034267568,accepted,SPEAKER_00
real,400.0,long_00001_3729-2300-8230,s3,coarse_to_fine,0,False,0.0,-0.1342470930882571,1.0,0.3057232243269625,margin,SPEAKER_01
real,400.0,long_00001_3729-2300-8230,s1,coarse_to_fine,1,True,7.25455633439458e-05,0.6321238477474533,1.0,0.3824135099379273,accepted,SPEAKER_02
real,400.0,long_00001_3729-2300-8230,s2,coarse_to_fine,1,True,8.761295637464476e-05,0.6401174849834226,1.0,0.23255086899160216,accepted,SPEAKER_00
real,400.0,long_00001_3729-2300-8230,s3,coarse_to_fine,1,False,0.0,-0.16428268798121548,1.0,0.3057232243269625,margin,SPEAKER_01
real,800.0,long_00001_3729-2300-8230,s1,gated_deflation,0,True,6.5440409231705e-05,0.5673993624465019,0.9637471079843241,0.7932569415966967,accepted,SPEAKER_02
real,800.0,long_00001_3729-2300-8230,s2,gated_deflation,0,True,2.059187371341246e-05,0.4321565921188474,0.9766593665768194,0.7171456113066613,accepted,SPEAKER_00
real,800.0,long_00001_3729-2300-8230,s3,gated_deflation,0,True,0.0,0.5093590617758783,0.9904564975345952,0.7147255953864352,accepted,SPEAKER_01
real,800.0,long_00001_3729-2300-8230,s1,coarse_to_fine,0,True,6.5440409231705e-05,0.49840383414621114,1.0,0.35151609445372073,accepted,SPEAKER_02
real,800.0,long_00001_3729-2300-8230,s2,coarse_to_fine,0,True,2.059187371341246e-05,0.5107685141743815,1.0,0.24164378861140567,accepted,SPEAKER_00
real,800.0,long_00001_3729-2300-8230,s3,coarse_to_fine,0,False,0.0,-0.17379824843624536,0.9888123423248593,0.31218877082537694,margin,SPEAKER_01
real,800.0,long_00001_3729-2300-8230,s1,coarse_to_fine,1,True,6.5440409231705e-05,0.6552792523284692,1.0,0.36390868141038724,accepted,SPEAKER_02
real,800.0,long_00001_3729-2300-8230,s2,coarse_to_fine,1,True,2.059187371341246e-05,0.627285207466165,1.0,0.2380276579913415,accepted,SPEAKER_00
real,800.0,long_00001_3729-2300-8230,s3,coarse_to_fine,1,False,0.0,-0.2049653169608503,0.9888123423248593,0.31218877082537694,margin,SPEAKER_01
oracle,0.0,long_00002_4077-237-2300,s1,gated_deflation,0,True,0.0,0.5032467029592427,1.0,0.7405644209649451,accepted,s1
oracle,0.0,long_00002_4077-237-2300,s2,gated_deflation,0,True,0.0,0.18598787735202182,0.9788154343112527,0.7851361748393484,accepted,s2
oracle,0.0,long_00002_4077-237-2300,s3,gated_deflation,0,True,0.0,0.4167860340516659,0.9782554978996788,0.7212392833731036,accepted,s3
oracle,0.0,long_00002_4077-237-2300,s1,coarse_to_fine,0,True,0.0,0.318110091786968,1.0,0.49136823314744077,accepted,s1
oracle,0.0,long_00002_4077-237-2300,s2,coarse_to_fine,0,True,0.0,0.15635864821815282,0.983159707518139,0.46871150022292685,accepted,s2
oracle,0.0,long_00002_4077-237-2300,s3,coarse_to_fine,0,True,0.0,0.40566243490526677,0.9752285643686681,0.24511087701391412,accepted,s3
oracle,0.0,long_00002_4077-237-2300,s1,coarse_to_fine,1,True,0.0,0.30055024739366465,1.0,0.49169603019170693,accepted,s1
oracle,0.0,long_00002_4077-237-2300,s2,coarse_to_fine,1,True,0.0,0.1326033012512674,0.9930337935123232,0.4650192675300541,accepted,s2
oracle,0.0,long_00002_4077-237-2300,s3,coarse_to_fine,1,True,0.0,0.5891816535737195,0.9789736224363726,0.26063166580813074,accepted,s3
