diarization,dilate_ms,scene,speaker,system,m,si_sdr,deflation_index,n_accepted_before,refine_rounds,cluster,n_clusters
oracle,0.0,long_00000_5639-61-121,s1,no_recursion,3,-18.932007442300712,,,0,s1,3
oracle,0.0,long_00000_5639-61-121,s2,no_recursion,3,-13.230134704373672,,,0,s2,3
oracle,0.0,long_00000_5639-61-121,s3,no_recursion,3,-17.916071627357862,,,0,s3,3
oracle,0.0,long_00000_5639-61-121,s1,ungated_deflation,3,-18.932007442300712,0,0,0,s1,3
oracle,0.0,long_00000_5639-61-121,s2,ungated_deflation,3,-8.921323013663992,1,1,0,s2,3
oracle,0.0,long_00000_5639-61-121,s3,ungated_deflation,3,-12.38971807269753,2,2,0,s3,3
oracle,0.0,long_00000_5639-61-121,s1,gated_deflation,3,-18.932007442300712,0,0,0,s1,3
oracle,0.0,long_00000_5639-61-121,s2,gated_deflation,3,-8.921323013663992,1,1,0,s2,3
oracle,0.0,long_00000_5639-61-121,s3,gated_deflation,3,-12.38971807269753,2,2,0,s3,3
oracle,0.0,long_00000_5639-61-121,s1,coarse_to_fine,3,-18.932007442300712,,,2,s1,3
oracle,0.0,long_00000_5639-61-121,s2,coarse_to_fine,3,-14.312139895545716,,,2,s2,3
oracle,0.0,long_00000_5639-61-121,s3,coarse_to_fine,3,-17.916071627357862,,,2,s3,3
oracle,200.0,long_00000_5639-61-121,s1,no_recursion,3,-19.285383827257668,,,0,s1,3
oracle,200.0,long_00000_5639-61-121,s2,no_recursion,3,-13.19195020241966,,,0,s2,3
oracle,200.0,long_00000_5639-61-121,s3,no_recursion,3,-17.917499963559504,,,0,s3,3
oracle,200.0,long_00000_5639-61-121,s1,ungated_deflation,3,-19.285383827257668,0,0,0,s1,3
oracle,200.0,long_00000_5639-61-121,s2,ungated_deflation,3,-8.942091299387599,1,1,0,s2,3
oracle,200.0,long_00000_5639-61-121,s3,ungated_deflation,3,-12.346169536323748,2,2,0,s3,3
oracle,200.0,long_00000_5639-61-121,s1,gated_deflation,3,-19.285383827257668,0,0,0,s1,3
oracle,200.0,long_00000_5639-61-121,s2,gated_deflation,3,-8.942091299387599,1,1,0,s2,3
oracle,200.0,long_00000_5639-61-121,s3,gated_deflation,3,-12.346169536323748,2,2,0,s3,3
oracle,200.0,long_00000_5639-61-121,s1,coarse_to_fine,3,-19.285383827257668,,,2,s1,3
oracle,200.0,long_00000_5639-61-121,s2,coarse_to_fine,3,-14.247029558291239,,,2,s2,3
oracle,200.0,long_00000_5639-61-121,s3,coarse_to_fine,3,-17.917499963559504,,,2,s3,3
oracle,400.0,long_00000_5639-61-121,s1,no_recursion,3,-19.499898075309837,,,0,s1,3
oracle,400.0,long_00000_5639-61-121,s2,no_recursion,3,-12.496312164639436,,,0,s2,3
oracle,400.0,long_00000_5639-61-121,s3,no_recursion,3,-16.740463971862983,,,0,s3,3
oracle,400.0,long_00000_5639-61-121,s1,ungated_deflation,3,-19.499898075309837,0,0,0,s1,3
oracle,400.0,long_00000_5639-61-121,s2,ungated_deflation,3,-8.593898274841912,1,1,0,s2,3
oracle,400.0,long_00000_5639-61-121,s3,ungated_deflation,3,-12.119510828078743,2,2,0,s3,3
oracle,400.0,long_00000_5639-61-121,s1,gated_deflation,3,-19.499898075309837,0,0,0,s1,3
oracle,400.0,long_00000_5639-61-121,s2,gated_deflation,3,-8.593898274841912,1,1,0,s2,3
oracle,400.0,long_00000_5639-61-121,s3,gated_deflation,3,-12.119510828078743,2,2,0,s3,3
oracle,400.0,long_00000_5639-61-121,s1,coarse_to_fine,3,-19.499898075309837,,,2,s1,3
oracle,400.0,long_00000_5639-61-121,s2,coarse_to_fine,3,-13.548278267598448,,,2,s2,3
oracle,400.0,long_00000_5639-61-121,s3,coarse_to_fine,3,-16.740463971862983,,,2,s3,3
oracle,800.0,long_00000_5639-61-121,s1,no_recursion,3,-20.13952362796425,,,0,s1,3
oracle,800.0,long_00000_5639-61-121,s2,no_recursion,3,-11.295390511337622,,,0,s2,3
oracle,800.0,long_00000_5639-61-121,s3,no_recursion,3,-16.364423088420306,,,0,s3,3
oracle,800.0,long_00000_5639-61-121,s1,ungated_deflation,3,-20.13952362796425,0,0,0,s1,3
oracle,800.0,long_00000_5639-61-121,s2,ungated_deflation,3,-8.041924053540823,1,1,0,s2,3
oracle,800.0,long_00000_5639-61-121,s3,ungated_deflation,3,-12.050857204020978,2,2,0,s3,3
oracle,800.0,long_00000_5639-61-121,s1,gated_deflation,3,-20.13952362796425,0,0,0,s1,3
oracle,800.0,long_00000_5639-61-121,s2,gated_deflation,3,-8.041924053540823,1,1,0,s2,3
