diarization,dilate_ms,scene,speaker,system,m,si_sdr,deflation_index,n_accepted_before,refine_rounds,cluster,n_clusters
oracle,0.0,long_00000_5639-61-121,s1,no_recursion,3,-18.932007442300712,,,0,s1,3
oracle,0.0,long_00000_5639-61-121,s2,no_recursion,3,-13.230134704373672,,,0,s2,3
oracle,0.0,long_00000_5639-61-121,s3,no_recursion,3,-17.916071627357862,,,0,s3,3
oracle,0.0,long_00000_5639-61-121,s1,ungated_deflation,3,-18.932007442300712,0,0,0,s1,3
oracle,0.0,long_00000_5639-61-121,s2,ungated_deflation,3,-8.921323013663992,1,1,0,s2,3
oracle,0.0,long_00000_5639-61-121,s3,ungated_deflation,3,-12.38971807269753,2,2,0,s3,3
oracle,0.0,long_00000_5639-61-121,s1,gated_deflation,3,-18.932007442300712,0,0,0,s1,3
oracle,0.0,long_00000_5639-61-121,s2,gated_deflation,3,-8.921323013663992,1,1,0,s2,3
oracle,0.0,long_00000_5639-61-121,s3,gated_deflation,3,-12.38971807269753,2,2,0,s3,3
oracle,0.0,long_00000_5639-61-121,s1,coarse_to_fine,3,-18.932007442300712,,,2,s1,3
oracle,0.0,long_00000_5639-61-121,s2,coarse_to_fine,3,-14.312139895545716,,,2,s2,3
oracle,0.0,long_00000_5639-61-121,s3,coarse_to_fine,3,-17.916071627357862,,,2,s3,3
real,0.0,long_00000_5639-61-121,s1,no_recursion,3,-17.66569132815926,,,0,SPEAKER_01,3
real,0.0,long_00000_5639-61-121,s2,no_recursion,3,-22.253016956320444,,,0,SPEAKER_02,3
real,0.0,long_00000_5639-61-121,s3,no_recursion,3,-14.195785097857936,,,0,SPEAKER_00,3
real,0.0,long_00000_5639-61-121,s1,ungated_deflation,3,-17.66569132815926,0,0,0,SPEAKER_01,3
real,0.0,long_00000_5639-61-121,s2,ungated_deflation,3,-12.758407658037882,1,1,0,SPEAKER_02,3
real,0.0,long_00000_5639-61-121,s3,ungated_deflation,3,-12.4241237573717,2,2,0,SPEAKER_00,3
real,0.0,long_00000_5639-61-121,s1,gated_deflation,3,-17.66569132815926,0,0,0,SPEAKER_01,3
real,0.0,long_00000_5639-61-121,s2,gated_deflation,3,-12.758407658037882,1,1,0,SPEAKER_02,3
real,0.0,long_00000_5639-61-121,s3,gated_deflation,3,-12.4241237573717,2,2,0,SPEAKER_00,3
real,0.0,long_00000_5639-61-121,s1,coarse_to_fine,3,-17.66569132815926,,,2,SPEAKER_01,3
real,0.0,long_00000_5639-61-121,s2,coarse_to_fine,3,-22.655134326106715,,,2,SPEAKER_02,3
real,0.0,long_00000_5639-61-121,s3,coarse_to_fine,3,-14.195785097857936,,,2,SPEAKER_00,3
real_index_order,0.0,long_00000_5639-61-121,s1,no_recursion,3,-17.66569132815926,,,0,SPEAKER_01,3
real_index_order,0.0,long_00000_5639-61-121,s2,no_recursion,3,-22.253016956320444,,,0,SPEAKER_02,3
real_index_order,0.0,long_00000_5639-61-121,s3,no_recursion,3,-14.195785097857936,,,0,SPEAKER_00,3
real_index_order,0.0,long_00000_5639-61-121,s1,ungated_deflation,3,-17.66569132815926,0,0,0,SPEAKER_01,3
real_index_order,0.0,long_00000_5639-61-121,s2,ungated_deflation,3,-12.758407658037882,1,1,0,SPEAKER_02,3
real_index_order,0.0,long_00000_5639-61-121,s3,ungated_deflation,3,-12.4241237573717,2,2,0,SPEAKER_00,3
real_index_order,0.0,long_00000_5639-61-121,s1,gated_deflation,3,-17.66569132815926,0,0,0,SPEAKER_01,3
real_index_order,0.0,long_00000_5639-61-121,s2,gated_deflation,3,-12.758407658037882,1,1,0,SPEAKER_02,3
real_index_order,0.0,long_00000_5639-61-121,s3,gated_deflation,3,-12.4241237573717,2,2,0,SPEAKER_00,3
real_index_order,0.0,long_00000_5639-61-121,s1,coarse_to_fine,3,-17.66569132815926,,,2,SPEAKER_01,3
real_index_order,0.0,long_00000_5639-61-121,s2,coarse_to_fine,3,-22.655134326106715,,,2,SPEAKER_02,3
real_index_order,0.0,long_00000_5639-61-121,s3,coarse_to_fine,3,-14.195785097857936,,,2,SPEAKER_00,3
oracle,0.0,long_00001_3729-2300-8230,s1,no_recursion,3,-13.025236254905167,,,0,s1,3
oracle,0.0,long_00001_3729-2300-8230,s2,no_recursion,3,-3.9544617068110464,,,0,s2,3
oracle,0.0,long_00001_3729-2300-8230,s3,no_recursion,3,-21.803081156540255,,,0,s3,3
oracle,0.0,long_00001_3729-2300-8230,s1,ungated_deflation,3,-13.025236254905167,0,0,0,s1,3
oracle,0.0,long_00001_3729-2300-8230,s2,ungated_deflation,3,-4.125262414330359,1,1,0,s2,3
